"site_id","aggr_eco3_2015","aggr_eco9_2015","aquacultur","area_cat7","area_ha","areacls","bord_lake","cat_unique","ch0712_cat","ch0712_use","ch0712_wgt","cntyname","comid2007","comid2012","comids2007","des_ftype","disposal","dsgn_cat","dsgn12","eco_bio","eco_l3_nam","eco_nuta","eco3_x_origin","elevation","epa_reg","eval_name","evalstat","evaporate","feow_id","fs_ew","fw_eco3","fw_eco9","gnis_id","gnis_name","huc2","huc8","index_samp","lake_origin","lake_origin12","lakearea","lakename","lat_dd83","lon_dd83","maj_basin","mdcaty","meter_deep","miss_basin","na_l1code","na_l2code","na_l3code","nars_name","nes_lake","neslake","neslake_id","nesstoret","nhdname","non_saline","nut_reg","nutreg_name","open_water","own_type","ownshp","panel","perim_km","perm_water","phys_acces","publication_date","rchcode","reachcode","ref_cluster","ref_nutr","refclus_name","repeat_visit","rt_nla","sewage","siteid_07","sitesamp","sitetype","size_class","sld","srfc_area","st_dsgn","st_mdcaty","st_panel","st_siteid","st_stratum","st_wgt_all","st_wgt_cat","st_wgt_dsgn","state","state_name","state_nla","state_pcnt","statecty","status","status_dsk","status_fld","status_st","status_ver","stratum","tnt","tnt_st","urban","us_l3code","us_l3code_2015","us_l4code","us_l4code_2015","wgt_all","wgt_cat","wgt_dsgn","xcoord","ycoord"
"NLA06608-0013",NA,NA,"No","(20,50]",37.14025576,NA,NA,NA,NA,NA,NA,"BURLINGTON",4489294,NA,NA,NA,"No","CPL_NJ_(20,50]",NA,NA,"Atlantic Coastal Pine Barrens","CPL","PLNLOW MAN-MADE",15.44,"Region_2",NA,NA,"No",NA,NA,"PLNLOW","CPL",NA,NA,2,2040202,"Secchi_Samp","MAN-MADE",NA,0.371402558,"Mirror Lake",39.97428032,-74.56255123,NA,"0.01630549","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mirror Lake","Yes","XIV","Eastern Coastal Plain","Yes",NA,NA,"Panel_1",8.284688178,"Yes","Yes",NA,NA,2040202002449,"D","N","Plains and Lowlands: Low-elevation shallow warm lakes and reservoirs-southern and Coastal Plain(s)","YES","SO-SO","No",NA,"YES","PROB_Lake","02:>10-50 ha",3.834853608,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"NJ","New Jersey",NA,NA,NA,"Target_Sampled","Sampleable","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"YES",84,NA,NA,NA,147.9090567,"NJ",60.73864422,1799391.768,481126.5664
"NLA06608-0014",NA,NA,NA,"(10,20]",12.80952857,NA,NA,NA,NA,NA,NA,"SHERIDAN",14174711,NA,NA,NA,NA,"TPL_ND_(10,20]",NA,NA,"Northern Glaciated Plains","VI","PLNLOW NATURAL",498.4,"Region_8",NA,NA,NA,NA,NA,"PLNLOW","TPL",NA,NA,9,9010003,"Secchi_Samp","NATURAL",NA,0.128095286,"Unnamed Lake",47.83492738,-100.5756807,NA,"0.002746674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VI","Corn Belt and Northern Great Plains",NA,NA,NA,"Panel_1",1.383813932,NA,NA,NA,NA,9010003001800,"E","N","Plains and Lowlands: Higher-elevation, shallow lakes and reservoirs-northern central Plains","YES","TRASH",NA,NA,"YES","PROB_Lake","02:>10-50 ha",1.09070221,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND","North Dakota",NA,NA,NA,"Target_Sampled","Do_Field","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"NO",46,NA,NA,NA,324.9301387,"ND",360.5718727,-345040.5484,1161475.145
"NLA06608-0015",NA,NA,"No",">100",173.9929805,NA,NA,NA,NA,NA,NA,"SIERRA",3219231,NA,NA,NA,"No","XER_NM_>100",NA,NA,"Chihuahuan Deserts","III","WMTNS MAN-MADE",1275.36,"Region_6",NA,NA,"No",NA,NA,"WMTNS","XER",NA,NA,13,13030101,"Secchi_Samp","MAN-MADE",NA,1.739929805,"Caballo Reservoir",33.0071076,-107.2747938,NA,"0.186187666","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","III","Xeric West","Yes",NA,NA,"Panel_1",50.15536722,"Yes","Yes",NA,NA,13030101001509,"G","N","Western Mountains: Moderate-elevation, large southern lakes and reservoirs","YES","SO-SO","No",NA,"YES","PROB_Lake","04:>100-500 ha",10.72621798,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"NM","New Mexico",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",24,NA,NA,NA,6.92095662,"NM",5.319221139,-1044530.854,-440664.3952
"NLA06608-0016",NA,NA,"No",">100",641.0233086,NA,NA,NA,NA,NA,NA,"LINCOLN",17432752,NA,NA,NA,"No","SPL_NE_>100",NA,NA,"Nebraska Sand Hills","IVman","PLNLOW MAN-MADE",916,"Region_7",NA,NA,"No",NA,NA,"PLNLOW","SPL",NA,NA,10,10190018,"Secchi_Samp","MAN-MADE",NA,6.410233086,"Lake Maloney",41.03025217,-100.7797567,NA,"0.06081946","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake Maloney","Yes","IV","Great Plains Grass and Shrublands","Yes",NA,NA,"Panel_1",18.96803762,"Yes","Yes",NA,NA,10190018001849,"E","N","Plains and Lowlands: Higher-elevation, shallow lakes and reservoirs-northern central Plains","YES","SO-SO","No",NA,"YES","PROB_Lake","05:>500-5000 ha",2.113394436,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"NE","Nebraska",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",44,NA,NA,NA,4.160811284,"NE",16.2838239,-398503.3731,405615.682
"NLA06608-0019",NA,NA,NA,">100",103.3135279,NA,NA,NA,NA,NA,NA,"LOGAN",14665971,NA,NA,NA,NA,"NPL_ND_>100",NA,NA,"Northwestern Glaciated Plains","V","PLNLOW NATURAL",600.25,"Region_8",NA,NA,NA,NA,NA,"PLNLOW","NPL",NA,NA,10,10130104,"Secchi_Samp","NATURAL",NA,1.033135279,"Doyles Lake",46.36688788,-99.51185877,NA,"0.040633112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doyles Lake",NA,"V","South Central Cultivated Great Plains",NA,NA,NA,"Panel_1",7.965656888,NA,NA,NA,NA,10130104001673,"E","N","Plains and Lowlands: Higher-elevation, shallow lakes and reservoirs-northern central Plains","YES","TRASH",NA,NA,"YES","PROB_Lake","04:>100-500 ha",2.210742028,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND","North Dakota",NA,NA,NA,"Target_Sampled","Do_Field","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"NO",42,NA,NA,NA,21.96428238,"ND",24.37355445,-270862.1527,995780.1398
"NLA06608-0020",NA,NA,"No",">100",296.2001459,NA,NA,NA,NA,NA,NA,"CLARK",10284202,NA,NA,NA,"No","TPL_IL_>100",NA,NA,"Central Corn Belt Plains","VI","PLNLOW MAN-MADE",184.92,"Region_5",NA,NA,"No",NA,NA,"PLNLOW","TPL",NA,NA,5,5120111,"Secchi_Samp","MAN-MADE",NA,2.962001459,"Mill Creek Lake",39.40817838,-87.81380832,NA,"0.029260046","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","VI","Corn Belt and Northern Great Plains","Yes",NA,NA,"Panel_1",36.78983872,"Yes",NA,NA,NA,5120111001983,"C","Y","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains","YES","REF","No",NA,"YES","PROB_Lake","04:>100-500 ha",6.030180581,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"IL","Illinois",NA,NA,NA,"Target_Sampled","Sampleable","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"NO",54,NA,NA,NA,20.33534178,"IL",33.8472937,697586.438,243935.299
"NLA06608-0021",NA,NA,"No",">100",4226.925272,NA,NA,NA,NA,NA,NA,"ONTARIO",21980955,NA,NA,NA,"No","NESLake",NA,NA,"Eastern Great Lakes and Hudson Lowlands","VII","EHIGH NATURAL",209.55,"Region_2",NA,NA,"No",NA,NA,"EHIGH","NAP",NA,NA,4,4140201,"Secchi_Samp","NATURAL",NA,42.26925272,"Canandaigua Lake",42.77191973,-77.3095481,NA,"0.12642225","Yes",NA,NA,NA,NA,NA,NA,"NESLake","3604",NA,"Canandaigua Lake","Yes","VII","Mostly Glaciated Dairy Region","Yes",NA,NA,"Panel_1",56.14938354,"Yes","Yes",NA,NA,4140201003807,"B","N","E. Highlands: Cold northern lakes and reservoirs","YES","SO-SO","No",NA,"YES","PROB_Lake","05:>500-5000 ha",2.436283229,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"NY","New York",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",83,NA,NA,NA,8.418311244,"NY",7.833853361,1510835.106,739483.6268
"NLA06608-0023",NA,NA,NA,"(4,10]",6.20722172,NA,NA,NA,NA,NA,NA,"BELL",2580363,NA,NA,NA,NA,"(4,10]",NA,NA,"Cross Timbers","IX","PLNLOW MAN-MADE",265.85,"Region_6",NA,NA,NA,NA,NA,"PLNLOW","SPL",NA,NA,12,12070202,"Secchi_Samp","MAN-MADE",NA,0.062072217,"Birdbath Lake",31.14849172,-97.745332,NA,"0.001312891","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","IX","Southeastern Temperate Forested Plains and Hills","Yes",NA,NA,"Panel_1",0.974665509,"Yes","Yes",NA,NA,12070202000251,"D","N","Plains and Lowlands: Low-elevation shallow warm lakes and reservoirs-southern and Coastal Plain(s)","YES","REF",NA,NA,"YES","PROB_Lake","01: <10 ha",1.103575465,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"TX","Texas",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",29,NA,NA,NA,210.5049403,"TX",754.345388,-165867.0171,-708280.7969
"NLA06608-0024",NA,NA,"Missing",">100",9530.145112,NA,NA,NA,NA,NA,NA,"SMITH",4451216,NA,NA,NA,"Missing","NESLake",NA,NA,"South Central Plains","IX","PLNLOW MAN-MADE",105.13,"Region_6",NA,NA,"Missing",NA,NA,"PLNLOW","CPL",NA,NA,12,12020001,"Secchi_Samp","MAN-MADE",NA,95.30145112,"Lake Palestine",32.1220497,-95.48843409,NA,"0.12642225","Missing",NA,NA,NA,NA,NA,NA,"NESLake","4824",NA,"Lake Palestine","Missing","IX","Southeastern Temperate Forested Plains and Hills","Missing",NA,NA,"Panel_1",239.2872937,"Missing","Missing",NA,NA,12020001001622,"C","N","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains","YES","SO-SO","Missing",NA,"YES","PROB_Lake","06:>5000 ha",6.914566362,"Missing",NA,NA,NA,NA,NA,NA,NA,NA,"TX","Texas",NA,NA,NA,"Target_Sampled",NA,NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",35,NA,NA,NA,2.186087249,"TX",7.833853361,48035.47312,-601275.3744
"NLA06608-0025",NA,NA,"No","(10,20]",11.48123514,NA,NA,NA,NA,NA,NA,"CLEVELAND",12033697,NA,NA,NA,"No","SAP_NC_(10,20]",NA,NA,"Piedmont","IX","EHIGH MAN-MADE",245.48,"Region_4",NA,NA,"No",NA,NA,"EHIGH","SAP",NA,NA,3,3050105,"Secchi_Samp","MAN-MADE",NA,0.114812351,"Kings Mountian #1 Lake",35.20132137,-81.34573084,NA,"0.015834171","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kings Mountain Number One Lake","Yes","IX","Southeastern Temperate Forested Plains and Hills","Yes",NA,NA,"Panel_1",1.982772888,"Yes","Yes",NA,NA,3050105002168,"A","Y","E. Highlands: Large, warm, and deep reservoirs","YES","REF","No",NA,"YES","PROB_Lake","02:>10-50 ha",1.65072122,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"NC","North Carolina",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",45,NA,NA,NA,47.41940135,"NC",62.54658929,1317752.422,-155656.7245
"NLA06608-0029",NA,NA,"No","(50,100]",73.10037419,NA,NA,NA,NA,NA,NA,"SUSSEX",8076348,NA,NA,NA,"No","CPL_DE_(50,100]",NA,NA,"Middle Atlantic Coastal Plain","CPL","PLNLOW MAN-MADE",1.87,"Region_3",NA,NA,"No",NA,NA,"PLNLOW","CPL",NA,NA,2,2040207,"Secchi_Samp","MAN-MADE",NA,0.731003742,"Red Mill Pond",38.75601051,-75.21503793,NA,"0.215007489","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red Mill Pond","Yes","XIV","Eastern Coastal Plain","Yes",NA,NA,"Panel_1",11.55985109,"Yes","Yes",NA,NA,2040207001290,"D","N","Plains and Lowlands: Low-elevation shallow warm lakes and reservoirs-southern and Coastal Plain(s)","YES","SO-SO","No",NA,"YES","PROB_Lake","03:>50-100 ha",3.814059886,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"DE","Delaware",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",63,NA,NA,NA,4.357499828,"DE",4.606227315,1775138.221,335676.6326
"NLA06608-0031",NA,NA,"No","(20,50]",24.24953577,NA,NA,NA,NA,NA,NA,"NOBLE",15429940,NA,NA,NA,"No","SAP_OH_(20,50]",NA,NA,"Western Allegheny Plateau","XI","EHIGH MAN-MADE",241.93,"Region_5",NA,NA,"No",NA,NA,"EHIGH","SAP",NA,NA,5,5030201,"Secchi_Samp","MAN-MADE",NA,0.242495358,"Caldwell Lake",39.77645357,-81.51745185,NA,"0.029431985","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caldwell Lake","Yes","XI","The Central and Eastern Forested Uplands","Yes",NA,NA,"Panel_1",5.281606466,"Yes","Yes",NA,NA,5030201002117,"B","N","E. Highlands: Cold northern lakes and reservoirs","YES","SO-SO","No",NA,"YES","PROB_Lake","02:>10-50 ha",3.025585236,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"OH","Ohio",NA,NA,NA,"Target_Sampled","Sampleable","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"YES",70,NA,NA,NA,28.82219287,"OH",33.64956123,1224615.667,348635.8438
"NLA06608-0033",NA,NA,"No","(10,20]",15.16448355,NA,NA,NA,NA,NA,NA,"KITTITAS",24136857,NA,NA,NA,"No","WMT_WA_(10,20]",NA,NA,"North Cascades","II","WMTNS NATURAL",732.43,"Region_10",NA,NA,"No",NA,NA,"WMTNS","WMT",NA,NA,17,17030001,"Secchi_Samp","NATURAL",NA,0.151644835,"Swamp",47.31108363,-121.2990598,NA,"0.009077286","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Swamp Lake","Yes","II","Western Forested Mountains","Yes",NA,NA,"Panel_1",1.777959372,"Yes","Yes",NA,NA,17030001002761,"F","N","Western Mountains: High-elevation, cold, deep northern lakes and reservoirs","YES","TRASH","No",NA,"YES","PROB_Lake","02:>10-50 ha",1.287962115,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA","Washington",NA,NA,NA,"Target_Sampled","Do_Field","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"NO",77,NA,NA,NA,32.54937288,"WA",109.104571,-1901234.028,1349882.884
