column_name,name07,name12,units07,units12,description
evalstat,NA,EVALSTAT,,,"Status assigned based on lake evaluation guidelines: TargetSampleable= Lake can be accessed and sampled; TargetNotSampled= Lake is target, but was temporarily inaccessible to sampling in 2012; TargetOther= Lake is considered target, but cannot be sampled for reasons other than physical inaccessibility or lack of access permission; AccessDenied=No permission to access and sample lake; Inaccessible-Barrier/Safety=Lake cannot be accessed and/or sampled sue to hazardous conditions or physical barriers (including access by boat); Inaccessible-Effort=Lake is too remote to visit.; Nontarget-CoastalSaline=lake is maintained primarily by overland flow from an adjacent estuary or ocean; Nontarget-Ephemeral=Lake determined to be dry during the index period during all but extremely wet years; Nontarget-MapError=no lake present at coordinates (includes lakes that have permanently dried up); Nontarget-NoRecAquatUse=Lake constructed for special purpose (e.g., sewage lagoon, stock pond); Nontarget-NotLake=Lake is either riverine (&lt; 7 d residence time) or fully developed wetland with no open water; Nontarget-Other=Lake is nontarget for other reasons; Nontarget-TooSmall+ Lake evaluated to be &lt; 1 ha in surface area; NonTarget-TooShallow= Lake had maximum depth of &lt; 1 m; NonTarget-Vegetated= Lake has &lt; 1000 m2 of open water, but is not a fully developed wetland with no open water; NotNeeded- Over sample lake that was not needed to meet sample size requirements within a state"
evaporate,EVAPORATE,NA,,,Lake is used for evaporation (YES). Derived from Lake evaluation desktop and field forms. Used with other information to construct LAKE_SAMP
feow_id,NA,FEOW_ID,,,Freshwater Ecoregions of the World (2015)
fs_ew,NA,FS_EW,,,Eastern or western US Forest Service land
fw_eco3,WSA_ECO3,FW_ECO3,,,"Original NARS 3-level reporting region, based on aggregating WSA9 reporting regions: EHIGH=Eastern Highlands (NAP, SAP); PLNLOW=Plains and Lowlands (CPL, NPL, SPL, TPL, UMW); WMTNS=Western Mountains and Xeric (WMT, XER)."
fw_eco9,WSA_ECO9,FW_ECO9,,,"Original NARS 9-level reporting region, based on aggregated Omernik Level III ecoregions: CPL=Coastal Plains; NAP=Northern Appalachians; NPL=Northern Plains; SAP=Southern Appalachians; SPL=Southern Plains; TPL=Temperate Plains; UMW=Upper Midwest; WMT=Western Mountains; XER=Xeric West."
gnis_id,NA,GNIS_ID,,,Goegraphic Names Information System ID (from NHD)
gnis_name,NA,GNIS_NAME,,,USGS Geographic Names Information System name
huc2,HUC_2,HUC2,,,USGS Level 2 Hydrologic Unit Code where lake is located
huc8,HUC_8,HUC8,,,USGS Level 8 Hydrologic Unit Code where lake is located
index_samp,INDEX_SAMP,NA,,,Confirmation that lake was sampled. Secchi_Samp-Secchi depth determined
lake_origin,LAKE_ORIGIN,LAKE_ORIGIN,,,"Lake origin based on codes used in NLA 2007:MAN-MADE=includes LAKE-ORIGIN12= MAN_MADE, MAN_MADE_AB, and RESERVOIR; NATURAL=includes LAKE_ORIGIN12=NATURAL and NATURAL_ENH; UNCERTAIN= Includes LAKE_ORIGIN12=UNCERTAIN"
lake_origin12,NA,LAKE_ORIGIN12,,,"Lake origin as determined during the 2012 site evaluation process, or from the sampling visit: MAN_MADE=Impoundment created by humans with current use for purpose of water storage, wildlife/fishing, and recreation.  Not used for active irrigation or power generation.  Includes lakes that were historically used for other purposes (e.g. mining pit pond, mill pond) but currently not a ‘working” impoundment; MAN_MADE_AB=Lakes have been abandoned from their man-made function for many decades (or a century).  These are still called  man-made but function 'naturally'; NATURAL=Naturally occurring impoundment; NATURAL_ENH=Lake was originally a natural open water shallow lake that has been ‘enhanced’ with flow diversions to form larger/deeper lake to support recreational uses; RESERVOIR=Man-made impoundment for hydropower, flood control, and/or active irrigation storage; UNCERTAIN=Origin could not be determined from either site evaluation or sampling visit"
lakearea,LAKEAREA,NA,km2,km2,Lake polygon area (km^2) from NHD
lakename,LAKENAME,NA,,,Lake name (from field forms)
lat_dd83,LAT_DD,LAT_DD83,,,"Latitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always, represents centriod of lake polygon in NHD."
lon_dd83,LON_DD,LON_DD83,,,"Longitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always represents centriod of lake polygon in NHD."
maj_basin,NA,MAJ_BASIN,,,Major USGS Hydrologic Basins derived from NHDPlus
mdcaty,MDCATY,MDCATY,,,"Categories used for unequal probability selection within a stratum. For value definitions, see survey-specific design documentation."
meter_deep,METER_DEEP,NA,,,Lake is > 1 m deep (YES). Derived from Lake evaluation desktop and field forms. Used with other information to construct LAKE_SAMP
miss_basin,NA,MISS_BASIN,,,"Within Mississippi basin, yes or no"
na_l1code,NA,NA_L1CODE,,,CEC North American Level I ecoregion code
na_l2code,NA,NA_L2CODE,,,CEC North American Level II ecoregion code
na_l3code,NA,NA_L3CODE,,,CEC North American Level III ecoregion code
nars_name,NA,NARS_NAME,,,Name assigned to lake for NLA. Based on LOC_NAME in tblVERIFICATION and GNIS_NAME in tblDESIGN
nes_lake,NA,NES_LAKE,,,Was lake included in the 1970s National Eutrophication Survey?
neslake,NESLAKE,NA,,,NESLake-Lake was included in 1970s National Eutrophication Survey
neslake_id,NESLAKE_ID,NESLAKE_ID,,,NES Lake ID number
nesstoret,NA,NESSTORET,,,STORET ID number assigned to NES lake (from NLA 2007)
nhdname,NHDNAME,NA,,,Lake name (from NHD)
non_saline,NON_SALINE,NA,,,Lake is non-saline waterbody (YES). Derived from Lake evaluation desktop and field forms. Used with other information to construct LAKE_SAMP
nut_reg,NUT_REG,NA,,,"Nutrient ecoregion, based on EPA nutrient criteria documents for lakes & reservoirs)"
nutreg_name,NUTREG_NAME,NA,,,Nutrient ecoregion name
open_water,OPEN_WATER,NA,,,Lake has > 1000 m2 of open water (YES). Derived from Lake evaluation desktop and field forms. Used with other information to construct LAKE_SAMP
own_type,NA,OWN_TYPE,,,Federal Agency land ownership category based on most current spatial land records from federal agencies
ownshp,NA,OWNSHP,,,Land ownership derived from USGS fedlands shapefile (http://www.nationalatlas.gov/mld/fedlanp.html)
panel,PANEL,PANEL,,,"Design panel. Identified base and oversample list of sites for both national and state-specific designs. For value definitions, see survey-specific design documentation."
perim_km,LAKEPERIM,PERIM_KM,,,NHD lake polygon perimeter (kilometers)
perm_water,PERM_WATER,NA,,,Lake is a permanent waterbody (YES). Derived from Lake evaluation desktop and field forms. Used with other information to construct LAKE_SAMP
phys_acces,PHYS_ACCES,NA,,,Lake is physically accessible for crew and boats (YES). Derived from Lake evaluation desktop and field forms. Used with other information to construct LAKE_SAMP
publication_date,NA,PUBLICATION_DATE,,,Publication Date
rchcode,NA,RCHCODE,,,NHD Reach code assigned
reachcode,REACHCODE,NA,,,Unique NHD 14-digit Reach Code (0=code not assigned in NHDPlus
ref_cluster,REF_CLUSTER,NA,,,NLA Reference Site Cluster (A-G)
ref_nutr,REF_NUTR,NA,,,Nutrient Least Disturbed Reference Site (Y/N)
refclus_name,REFCLUS_NAME,NA,,,NLA Reference Cluster Description
repeat_visit,REPEAT,NA,,,Repeat visit lake (YES/blank)
rt_nla,RT_NLA,RT_NLA12,,,"NLA Reference Class Assignment (REF=reference, SO-SO=intermediate, TRASH=impacted, UNKNOWN=unknown)"
sewage,SEWAGE,NA,,,Lake is sewage treatment pond (YES). Derived from Lake evaluation desktop and field forms. Used with other information to to construct LAKE_SAMP
siteid_07,NA,SITEID_07,,,Site ID assigned in 2007 NLA
sitesamp,SAMPLED,SITESAMP,,,Did you sample this site (Y/N)
sitetype,SITE_TYPE,SITETYPE,,,Site type (Probability-based or hand-picked)
size_class,SIZE_CLASS,SIZE_CLASS,,,Lake area class
sld,SLD,NA,,,Shoreline development index (=LAKEPERIM/(2*sqrt(LAKEAREA*pi))
srfc_area,SRFC_AREA,NA,,,Lake is > 4 ha (YES). Derived from Lake evaluation desktop and field forms. Used with other information to construct LAKE_SAMP.
st_dsgn,NA,ST_DSGN,,,"Is lake included in State-specific design? Included=Included in State-specific design; Excluded=Not included in State-specific design. For value definitions, see survey-specific design documentation."
st_mdcaty,NA,ST_MDCATY,,,"Categories used for unequal probability selection within a stratum for NLA 2012 State-specific assessments. For value definitions, see survey-specific design documentation."
st_panel,NA,ST_PANEL,,,"Base and oversample design panels for state-specific designs. For value definitions, see survey-specific design documentation."
st_siteid,NA,ST_SITEID,,,Site ID code assigned for use in state-specific assessments. It is equal to SITE_ID unless a State provided its own specific ID code
st_stratum,NA,ST_STRATUM,,,"Design stratum for state-specific assessments. For value definitions, see survey-specific design documentation."
st_wgt_all,NA,ST_WGT_ALL,,,Adjusted weight for site. To be used for State-specific population estimation
st_wgt_cat,NA,ST_WGT_CAT,,,"Categories used for unequal probability selection within a stratum for state-specific sampling frames. For value definitions, see survey-specific design documentation."
st_wgt_dsgn,NA,ST_WGT_DSGN,,,"Initial weight assigned to State-specific sampling frames (MI, MN, OK, UT, and VT). "
state,ST,STATE,,,State lake is assigned to for sampling in NLA 2012
state_name,STATE_NAME,NA,,,STATE_NAME
state_nla,NA,STATE_NLA,,,"State (if border lake, all states)"
state_pcnt,NA,STATE_PCNT,,,Percent of lake area occurring in STATE.
statecty,NA,STATECTY,,,FIPS state and county code
status,LAKE_SAMP,STATUS,,,"Site status based on EVALSTAT and codes used for 2007 NLA, for use in national-scale population estimates: Target_Sampled=TargetSampled; Target_Denied=AccessDenied; Target_Inacc=Inaccessible-Barrier/Safety or Inaccessible-Effort; Target_Other=TargetOther.  Target lakes that wer not sampled.; Lake_LT_1 ha=Nontarget-TooSmall; Lake_Saline=Coastal_Saline; Lake_Shallow=Nontarget-TooShallow; Lake_Vegetated=Nontarget-Vegetated; Lake-Special_Purpose=Nontarget-NoRecAquatUse; Non_Target=Nontarget-Ephemeral or Nontarget-Other; Unknown=Lake was not evaluated or visited.  Generally applicable to additional State-specific sites that can be included in the national assessment."
status_dsk,STATUS_DSK,NA,,,Lake evaluation status from lake evaluation desktop form.Used with other information to construct LAKE_SAMP
status_fld,STATUS_FLD,NA,,,Lake evaluation status from lake evaluation field form. Used with other information to construct LAKE_SAMP
status_st,NA,STATUS_ST,,,"Site status based on EVALSTAT and codes used for 2007 NLA, for use in State-scale population estimates for MI, MN, OK, UT, and VT: Same code as STATUS_12, plus Lake_LT_4 ha= for MI and MN, lakes &lt; 4 ha were not part of the target population for the State assessment.; Lake_LT_10_ha= For UT, lakes &lt; 10 ha in FS Wilderness Areas were not part of the target population for the State assessment.; Lake_Tribal=For UT, lakes on Tribal land were not part of the target population for the State assessment"
status_ver,STATUS_VER,NA,,,Lake evaluation status from lake verification form. Used with other information to construct LAKE_SAMP
stratum,STRATUM,STRATUM,,,"Stratum use for survey design (national assessment). Needed for population estimates. For value definitions, see survey-specific design documentation."
tnt,TNT,TNT,,,"NLA target status assigned based on lake evaluation for use in national assessments. Target_Presumed= Assigned to lakes evaluated as target but were not sampled (e.g., access denials or physically inaccessible). Uncertain-Final target status cannot be determined because open water and depth criteria could not be evaluated. NotNeeded=Not needed for national level assessments (includes sites selected as part of individual state-level designs. Blank=represent errors or changes in design file, such as lakes selected &gt; 1 time or lakes whose polygons have been combined with other lakes."
tnt_st,NA,TNT_ST,,,NLA target status assigned based on lake evaluation for use in State-specific assessments
urban,URBAN,URBAN,,,Urban lake defined using WBDC 12 digit HUCs that intersect either US Census Urban Clusters or Urban Areas
us_l3code,ECO_LEV_3,US_L3CODE,,,Original Omernik Level III ecoregion code
us_l3code_2015,NA,US_L3CODE_2015,,,Omernik Level III ecoregion code (2015)
us_l4code,NA,US_L4CODE,,,Original Omernik Level IV ecoregion code
us_l4code_2015,NA,US_L4CODE_2015,,,Omernik Level IV ecoregion code (2015)
wgt_all,WGT_NLA,WGT_ALL,,,Adjusted weight for site. To be used for NLA national population estimation
wgt_cat,ADJWGT_CAT,WGT_CAT,,,Categories used for unequal probability selection within a stratum
wgt_dsgn,WGT,WGT_DSGN,,,Initial site weight assigned during site selection. DO NOT USE FOR POPULATION ESTIMATION!
xcoord,ALBERS_X,XCOORD,m,m,x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection
ycoord,ALBERS_Y,YCOORD,m,m,"Longitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always represents centriod of lake polygon in NHD."
