"","algal_group12","algal_group07","phylum12","phylum07","class12","order12","order07","family12","family07","genus","sp12","sp07"
"63","Cryptophytes",NA,"Cryptophyta",NA,"Cryptophyceae","Cryptomonadales",NA,"Cryptomonadaceae",NA,"Rhodomonas","Rhodomonas; Rhodomonas lacustris",NA
"64","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Centrales","Centrales","Aulacoseiraceae","Aulacoseiraceae","Aulacoseira","Aulacoseira; Aulacoseira alpigena; Aulacoseira ambigua; Aulacoseira granulata; Aulacoseira islandica; Aulacoseira italica; Aulacoseira subarctica","Aulacoseira; Aulacoseira distans; Aulacoseira granulata; Aulacoseira italica"
"65","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Centrales",NA,"Chaetocerotacaea",NA,"Chaetoceros","Chaetoceros",NA
"66","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Centrales",NA,"Hemidiscaceae",NA,"Actinocyclus","Actinocyclus",NA
"67","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Centrales","Centrales","Melosiraceae","Melosiraceae","Melosira","Melosira; Melosira varians","Melosira"
"68","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Centrales",NA,"Rhizosoleniaceae",NA,"Rhizosolenia","Rhizosolenia",NA
"69","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Centrales","Centrales","Stephanodiscaceae","Stephanodiscaceae","Cyclotella","Cyclotella; Cyclotella bodanica; Cyclotella meneghiniana; Cyclotella ocellata; Cyclotella stelligera","Cyclotella; Cyclotella bodanica"
"70","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Centrales","Centrales","Stephanodiscaceae","Thalassiosiraceae","Puncticulata","Puncticulata bodanica","Puncticulata; Puncticulata comta"
"71","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Centrales","Centrales","Stephanodiscaceae","Stephanodiscaceae","Stephanodiscus","Stephanodiscus; Stephanodiscus binderanus; Stephanodiscus niagarae","Stephanodiscus"
"72","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Achnanthaceae",NA,"Achnanthes","Achnanthes",NA
"73","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Achnanthaceae","Achnanthaceae","Cocconeis","Cocconeis; Cocconeis pediculus; Cocconeis placentula","Cocconeis; Cocconeis placentula lineata"
"74","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Achnanthaceae",NA,"Planothidium","Planothidium; Planothidium lanceolatum",NA
"75","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Achnanthaceae","Achnanthaceae","Psammothidium","Psammothidium; Psammothidium curtissimum","Psammothidium"
"76","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Achnanthidiaceae","Achnanthidiaceae","Achnanthidium","Achnanthidium; Achnanthidium catenatum; Achnanthidium duthiei; Achnanthidium exiguum; Achnanthidium exilis; Achnanthidium gracillimum; Achnanthidium hungaricum; Achnanthidium minutissimum; Achnanthidium rivulare","Achnanthidium"
"77","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Achnanthidiaceae","Achnanthidiaceae","Eucocconeis","Eucocconeis; Eucocconeis flexella","Eucocconeis"
"78","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Amphipleuraceae","Amphipleuraceae","Amphipleura","Amphipleura; Amphipleura pellucida","Amphipleura"
"79","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Amphipleuraceae","Amphipleuraceae","Frustulia","Frustulia; Frustulia rhomboides; Frustulia vulgaris","Frustulia"
"80","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Anomoeoneidaceae",NA,"Anomoeoneis","Anomoeoneis",NA
"81","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Bacillariaceae",NA,"Bacillaria","Bacillaria paradoxa; Bacillaria paxillifer",NA
"82","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Bacillariaceae","Bacillariaceae","Cylindrotheca","Cylindrotheca; Cylindrotheca closterium; Cylindrotheca gracilis","Cylindrotheca"
"83","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Bacillariaceae","Bacillariaceae","Denticula","Denticula","Denticula"
"84","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Bacillariaceae",NA,"Hantzschia","Hantzschia",NA
"85","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Bacillariaceae","Bacillariaceae","Nitzschia","Nitzschia; Nitzschia acicularis; Nitzschia ambigua; Nitzschia amphibia; Nitzschia closterium; Nitzschia fruticosa; Nitzschia gracilis; Nitzschia inconspicua; Nitzschia laevis; Nitzschia linearis; Nitzschia microcephala; Nitzschia palea; Nitzschia reversa; Nitzschia sigmoidea; Nitzschia sinuata; Nitzschia subacicularis","Nitzschia"
"86","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Bacillariaceae","Bacillariaceae","Tryblionella","Tryblionella","Tryblionella"
"87","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Brachysiraceae","Brachysiraceae","Brachysira","Brachysira; Brachysira neoexilis","Brachysira"
"88","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Catenulaceae","Catenulaceae","Amphora","Amphora; Amphora delicatissima; Amphora libyca; Amphora pediculus; Amphora pellucida","Amphora"
"89","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Cymbellaceae","Cymbellaceae","Cymbella","Cymbella; Cymbella lanceolata; Cymbella leptoceros; Cymbella microcephala; Cymbella turgidula","Cymbella"
"90","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Diadesmidaceae",NA,"Diadesmis","Diadesmis contenta; Diadesmis perpusilla",NA
"91","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Diatomaceae",NA,"Ctenophora","Ctenophora pulchella",NA
"92","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Diatomaceae","Fragilariaceae","Diatoma","Diatoma; Diatoma mesodon; Diatoma moniliformis; Diatoma tenue; Diatoma vulgare","Diatoma; Diatoma elongatum"
"93","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Eunotiaceae","Eunotiaceae","Eunotia","Eunotia; Eunotia bilunaris; Eunotia formica; Eunotia pectinalis","Eunotia"
"94","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Fragilariaceae","Fragilariaceae","Fragilaria","Fragilaria; Fragilaria capucina; Fragilaria construens; Fragilaria crotonensis; Fragilaria goulardii; Fragilaria mesolepta; Fragilaria vaucheriae","Fragilaria; Fragilaria capucina; Fragilaria crotonensis; Fragilaria cyclopum"
"95","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Fragilariaceae",NA,"Fragilariforma","Fragilariforma",NA
"96","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Fragilariaceae","Fragilariaceae","Meridion","Meridion; Meridion anceps; Meridion circulare","Meridion"
"97","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Fragilariaceae","Fragilariaceae","Pseudostaurosira","Pseudostaurosira; Pseudostaurosira brevistriata; Pseudostaurosira parasitica","Pseudostaurosira"
"98","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Fragilariaceae","Fragilariaceae","Staurosira","Staurosira; Staurosira construens","Staurosira; Staurosira construens"
"99","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Fragilariaceae","Fragilariaceae","Staurosirella","Staurosirella","Staurosirella"
"100","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Fragilariaceae","Fragilariaceae","Synedra","Synedra; Synedra capitata; Synedra cyclopum; Synedra delicatissima; Synedra tenera; Synedra ulna","Synedra; Synedra acus; Synedra delicatissima; Synedra ulna"
"101","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Gomphonenataceae",NA,"Gomphoneis","Gomphoneis",NA
"102","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Gomphonenataceae","Gomphonemataceae","Gomphonema","Gomphonema; Gomphonema acuminatum; Gomphonema angustum; Gomphonema apicatum; Gomphonema augur; Gomphonema clavatum; Gomphonema coronatum; Gomphonema gracile; Gomphonema minutum; Gomphonema parvulum; Gomphonema truncatum","Gomphonema"
"103","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Gomphonenataceae",NA,"Gomphosphenia","Gomphosphenia",NA
"104","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Mastogloiaceae",NA,"Aneumastus","Aneumastus",NA
"105","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Mastogloiaceae","Mastogloiaceae","Mastogloia","Mastogloia; Mastogloia smithii","Mastogloia"
"106","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Naviculaceae",NA,"Amphiprora","Amphiprora",NA
"107","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Naviculaceae","Diploneidaceae","Diploneis","Diploneis; Diploneis elliptica","Diploneis"
