order,DATA_COLUMN,parameter,column_name,rl,units,LABEL
66,LAKE_SAMP,delete,,,,Evaluation status
67,SAMPLED,delete,,,,Was lake sampled? (Yes/No) drop no3_diff
68,DATE_COL,delete,,,,Date of site visit
69,DATECHEM,delete,,,,Date water chemistry sample collected (B_note: same as DATE_COL in the site info file
70,SAMPLED_CHEM,delete,,,,Site Sampled Code for Water Chemistry Data
71,INDXSAMP_CHLA,delete,,,,"Index chlorophyll sample for site (YES/NO)-typically the Visit 1 Primary sample;B_note-same as ""INDXSAMP_CHEM"""
72,SAMPLED_CHLA,delete,,,,CHLA SAMPLE COLLECTED/ANALYZED?
73,DATESECCHI,delete,,,,Date of Secchi transparency determination; Bnote: delete-same as DATE_COL
74,SAMPLED_SECCHI,delete,,,,Secchi transparency determined?
75,DOC_FLAG,doc,flag,,,Flag for DOC
76,DOC_HT,doc,ht,,,Number of Days between Sample Collection and Lab Analysis for DOC
77,DOC_HT_ALERT,doc,ht_alert,,,DOC Holding Time Exceeded Limit of 14 Days (Y/N)
78,DOC,doc,result,0.2,mg/L,Dissolved Organic Carbon (mg/L)
79,DOC_RL_ALERT,doc,rl_alert,,,DOC Value Below Reporting Limit of 0.20 mg/L (Y/N)
80,H,h,result,,ueq/L,H+ from PH_LAB (ueq/L)
81,K_FLAG,potassium,flag,,,Flag for K
82,K_HT,potassium,ht,,,Number of Days between Sample Collection and Lab Analysis for K
83,K_HT_ALERT,potassium,ht_alert,,,K Holding Time Exceeded Limit of 180 Days (Y/N)
84,K,delete,,2.56,ueq/L,Potassium (ueq/L)
85,K_RL_ALERT,potassium,rl_alert,,,K Value Below Reporting Limit of 2.56 ueq/L (Y/N)
86,K_PPM,potassium,result,,mg/L,Potassium (mg/L)
87,MG_FLAG,magnesium,flag,,,Flag for MG
88,MG_HT,magnesium,ht,,,Number of Days between Sample Collection and Lab Analysis for MG
89,MG_HT_ALERT,magnesium,ht_alert,,,MG Holding Time Exceeded Limit of 180 Days (Y/N)
90,MG,delete,,8.23,ueq/L,Magnesium (ueq/L)
91,MG_RL_ALERT,magnesium,rl_alert,,,MG Value Below Reporting Limit of 8.23 ueq/L (Y/N)
92,MG_PPM,magnesium,result,,mg/L,Magnesium (mg/L)
93,NH4_FLAG,ammonia_n,flag,,,Flag for NH4
94,NH4_HT,ammonia_n,ht,,,Number of Days between Sample Collection and Lab Analysis for NH4
95,NH4_HT_ALERT,ammonia_n,ht_alert,,,NH4 Holding Time Exceeded Limit of 28 Days (Y/N)
96,NH4,delete,,1.43,ueq/L,Ammonium (ueq/L)
97,NH4_RL_ALERT,ammonia_n,rl_alert,,,NH4 Value Below Reporting Limit of 1.43 ueq/L (Y/N)
98,NH4ION,nh4ion,result,,ueq/L,Calculated NH4+ protolyte (ueq/L)
99,NH4N_PPM,ammonia_n,result,,mg/L,Ammonium (mg/L)
100,NO3_FLAG,nitrate_n,flag,,,Flag for NO3
101,NO3_HT,nitrate_n,ht,,,Number of Days between Sample Collection and Lab Analysis for NO3
102,NO3_HT_ALERT,nitrate_n,ht_alert,,,NO3 Holding Time Exceeded Limit of 7 Days (Y/N)
103,NO3,delete,,1.43,ueq/L,Nitrate (ueq/L)
104,NO3_RL_ALERT,nitrate_n,rl_alert,,,NO3 Value Below Reporting Limit of 1.43 ueq/L (Y/N)
105,NO3N_PPM,nitrate_n,result,,mg/L,Nitrate (mg/L)
106,NO3NO2_FLAG,nitrate_nitrite_n,flag,,,Flag for NO3_NO2
107,NO3NO2_HT,nitrate_nitrite_n,ht,,,Number of Days between Sample Collection and Lab Analysis for NO3NO2
108,NO3NO2_HT_ALERT,nitrate_nitrite_n,ht_alert,,,NO3NO2 Holding Time Exceeded Limit of 7 Days (Y/N)
109,NO3_NO2,nitrate_nitrite_n,result,0.02,mg/L,Nitrate + Nitrite by Flow Injection Analysis (mg N/L)
110,NO3NO2_RL_ALERT,nitrate_nitrite_n,rl_alert,,,NO3NO2 Value Below Reporting Limit of 0.02 mg N/L (Y/N)
111,NTL_FLAG,ntl,flag,,,Flag for NTL
112,NTL_HT,ntl,ht,,,Number of Days between Sample Collection and Lab Analysis for NTL
113,NTL_HT_ALERT,ntl,ht_alert,,,NTL Holding Time Exceeded Limit of 28 Days (Y/N)
114,NTL,ntl,result,20,ug/L,Total Nitrogen (ug/L)
115,NTL_RL_ALERT,ntl,rl_alert,,,NTL Value Below Reporting Limit of 20.00 ug/L (Y/N)
116,NTL_PPM,delete,,,mg/L,Total Nitrogen (mg/L)
117,OH,oh,result,,ueq/L,Hydroxide from PH_LAB (ueq/L)
118,ORGION,orgion,result,,ueq/L,Est. Organic Anion (ueq/L)
119,COM_FIELD_PH,ph_field,comment,,,Field pH comment from Profile_do_com data
120,PH_FIELD,ph_field,result,,ph,Field pH from Profile DO data (pH measured at first non-zero depth unless only depth was zero)
121,PHLAB_FLAG,ph,flag,,,Flag for PH_LAB
122,PHLAB_HT,ph,ht,,,Number of Days between Sample Collection and Lab Analysis for PH_LAB
123,PHLAB_HT_ALERT,ph,ht_alert,,,PH_LAB Holding Time Exceeded Limit of 3 Days (Y/N)
124,PH_LAB,ph,result,,ph,pH measured at laboratory
125,PTL_FLAG,ptl,flag,,,Flag for PTL
126,PTL_HT,ptl,ht,,,Number of Days between Sample Collection and Lab Analysis for PTL
127,PTL_HT_ALERT,ptl,ht_alert,,,PTL Holding Time Exceeded Limit of 28 Days (Y/N)
128,PTL,ptl,result,4,ug/L,Total Phosphorus (ug/L)
129,PTL_RL_ALERT,ptl,rl_alert,,,PTL Value Below Reporting Limit of 4.00 ug/L (Y/N)
130,SECMEAN,secchi,result,,m,Secchi transparency (m)(=avg. of disk disappearance and reappearance depths)
131,SIO2_FLAG,silica,flag,,,Flag for SIO2
132,SIO2_HT,silica,ht,,,Number of Days between Sample Collection and Lab Analysis for SIO2
133,SIO2_HT_ALERT,silica,ht_alert,,,SIO2 Holding Time Exceeded Limit of 7 Days (Y/N)
134,SIO2_RL_ALERT,silica,rl_alert,,,SIO2 Value Below Reporting Limit of 0.10 mg/L SiO2 (Y/N)
135,SIO2,silica,result,0.1,mg/L,Silica (mg/L SiO2)
136,SO4_FLAG,sulfate,flag,,,Flag for SO4
137,SO4_HT,sulfate,ht,,,Number of Days between Sample Collection and Lab Analysis for SO4
138,SO4_HT_ALERT,sulfate,ht_alert,,,SO4 Holding Time Exceeded Limit of 7 Days (Y/N)
139,SO4,delete,,10.41,ueq/L,Sulfate (ueq/L)
140,SO4_RL_ALERT,sulfate,rl_alert,,,SO4 Value Below Reporting Limit of 10.41 ueq/L (Y/N)
141,SO4_PPM,sulfate,result,,mg/L,Sulfate (mg/L)
142,SOBC,sobc,result,,ueq/L,Sum of Base Cations (ueq/L)
143,SODIUM_FLAG,sodium,flag,,,Flag for SODIUM (NA)
144,SODIUM_HT,sodium,ht,,,Number of Days between Sample Collection and Lab ASODIUMlysis for SODIUM (NA)
145,SODIUM_HT_ALERT,sodium,ht_alert,,,SODIUM (NA) Holding Time Exceeded Limit of 180 Days (Y/N)
146,SODIUM,delete,,4.35,ueq/L,Sodium (NA) (ueq/L)
147,SODIUM_RL_ALERT,sodium,rl_alert,,,SODIUM (NA) Value Below Reporting Limit of 4.35 ueq/L (Y/N)
148,SODIUM_PPM,sodium,result,,mg/L,Sodium (NA) (mg/L)
149,TOC_FLAG,toc,flag,,,Flag for TOC
150,TOC_HT,toc,ht,,,Number of Days between Sample Collection and Lab Analysis for TOC
151,TOC_HT_ALERT,toc,ht_alert,,,TOC Holding Time Exceeded Limit of 14 Days (Y/N)
152,TOC,toc,result,0.2,mg/L,Total Organic Carbon (mg/L)
153,TOC_RL_ALERT,toc,rl_alert,,,TOC Value Below Reporting Limit of 0.20 mg/L (Y/N)
154,TURB_FLAG,turb,flag,,,Flag for TURB
155,TURB_HT,turb,ht,,,Number of Days between Sample Collection and Lab Analysis for TURB
156,TURB_HT_ALERT,turb,ht_alert,,,TURB Holding Time Exceeded Limit of 3 Days (Y/N)
157,TURB,turb,result,2,NTU,Turbidity (NTU)
158,TURB_RL_ALERT,turb,rl_alert,,,TURB Value Below Reporting Limit of 2.0 NTU (Y/N)
