DATA_COLUMN,parameter,column_name,description
TSS_RL,TSS,RL,Reporting limit for Total Suspended Solids
TSS_UNITS,TSS,UNITS,Units for Total Suspended Solids
TURB_BATCH_ID,TURB,BATCH_ID,Batch ID from lab for Turbidity
TURB_DATE_ANALYZED,TURB,DATE_ANALYZED,Date of sample analysis for Turbidity
TURB_FLAG,TURB,FLAG,Flag for Turbidity
TURB_HOLDING_TIME,TURB,HOLDING_TIME,Sample holding time for Turbidity
TURB_LAB_FLAG,TURB,LAB_FLAG,Flag from laboratory for Turbidity
TURB_LAB_SAMPLE_ID,TURB,LAB_SAMPLE_ID,Laboratory Sample ID for Turbidity
TURB_MDL,TURB,MDL,Minimum detection limit of analyte for Turbidity
TURB_QA_FLAG,TURB,QA_FLAG,QA flag associated with sample for Turbidity
TURB_RESULT,TURB,RESULT,Analyte value for Turbidity
TURB_RL,TURB,RL,Reporting limit for Turbidity
TURB_UNITS,TURB,UNITS,Units for Turbidity
