site,sample,name,newName,description
,1,SAMPLED_CORE,sampled_core,Sediment core sample collected?
,1,SAMPLED_ENTE,sampled_ente,Enterococci sample collected?
,1,SAMPLED_INF,sampled_inf,"Sediment core samples (Top, Bottom) used for diatom-inferred chemistry?"
,1,SAMPLED_MICR,sampled_micr,Microcystin sample collected?
,1,SAMPLED_PHAB,sampled_phab,Site sampled code for physical habitat characterization
,1,SAMPLED_PHYT,sampled_phyt,Phytoplankton sample collected?
,1,SAMPLED_PROFILE,sampled_profile,SAMPLED variable from profile data
,1,SAMPLED_SDHG,sampled_sdhg,Sediment Hg sample collected?
,1,SAMPLED_SECCHI,sampled_secchi,Secchi Depth Site Sample Status
,1,SAMPLED_ZOOP,sampled_zoop,Zooplankton sample collected?
1,,SEWAGE,sewage,Lake is sewage treatment pond (YES). Derived from Lake evaluation desktop and field forms. Used with other information to to construct LAKE_SAMP
1,1,SITE_ID,site_id,ID Assigned to Each Site
1,,SITE_TYPE,sitetype,PROB_Samp: Lake is from probability sample and can be used for population estimation.  REF_Lake: Lake is not from probability sample and was selected as a candidate reference lake
1,,SIZE_CLASS,size_class,Lake area size class
1,,SLD,sld,Shoreline development index (=LAKEPERIM/(2*sqrt(LAKEAREA*pi))
1,,SRFC_AREA,srfc_area,Lake is > 4 ha (YES). Derived from Lake evaluation desktop and field forms. Used with other information to construct LAKE_SAMP.
1,,ST,state,State two letter code
1,,STATE_NAME,state_name,STATE_NAME
1,,STATUS_DSK,status_dsk,Lake evaluation status from lake evaluation desktop form.Used with other information to construct LAKE_SAMP
1,,STATUS_FLD,status_fld,Lake evaluation status from lake evaluation field form. Used with other information to construct LAKE_SAMP
1,,STATUS_VER,status_ver,Lake evaluation status from lake verification form. Used with other information to construct LAKE_SAMP
1,,STRATUM,stratum,Probability survey design stratum. NLALake is single stratum
1,,TNT,tnt,Target:Non-target evaluation status derived from LAKE_SAMP
1,,URBAN,urban,URBAN LAKE? (YES/NO)
,1,VISIT_ID,uid,Number assigned to each visit
,1,VISIT_NO,visit_no,Sequential Visit Number Within Year
1,,WGT,wgt_dsgn,Initial site weight based on base design. DO NOT USE for population estimation
1,,WGT_NLA,wgt_all,Adjusted site weight. USE for population estimation
1,,WSA_ECO3,fw_eco3,Wadeable Stream Assessment three aggregrated Omernik level 3 ecoregions
1,,WSA_ECO9,fw_eco9,Wadeable Stream Assessment nine aggregrated Omernik level 3 ecoregions
