field,units,description,algaltoxins,atrazine,bentcond,benthic,bentmet,benttaxa,chla,condition,phab,phabmet,phytotaxa,profile,secchi,siteinfo,topsedhg,waterchem,zoopcond,zoopmets,zooptaxa
BS_GRAVEL,NA,"Bottom substrate gravel (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BS_ORGANIC,NA,"Bottom substrate organic (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BS_OTHER,NA,percent cover by other,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BS_SAND,NA,"Bottom substrate sand (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BS_SILT,NA,"Bottom substrate silt (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BS_WOOD,NA,"Bottom substrate woody debris (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BS16LDIA,NA,Bottom substrate: 16th percentile of bottom substrate diameter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BS25LDIA,NA,Bottom substrate: 25th percentile of bottom substrate diameter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BS50LDIA,NA,Bottom substrate: 50th percentile of bottom substrate diameter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BS75LDIA,NA,Bottom substrate: 75th percentile of bottom substrate diameter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BS84LDIA,NA,Bottom substrate: 84th percentile of bottom substrate diameter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFANOXIC,NA,Bottom substrate: fraction with anoxic odor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFBLACK,NA,Bottom substrate: fraction of Black substrate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFBROWN,NA,Bottom substrate: fraction of Brown substrate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFCBEDROCK,NA,Bottom substrate: fractional cover of bedrock,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFCBOULDERS,NA,Bottom substrate: fractional cover of Boulder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFCCOBBLE,NA,Bottom substrate: fractional cover of Cobble,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFCGRAVEL,NA,Bottom substrate: fractional cover of gravel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFCHEMICAL,NA,Bottom substrate: fraction with chemical odor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFCORGANIC,NA,Bottom substrate: fractional cover of organic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFCSAND,NA,Bottom substrate: fractional cover of sand,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFCSILT,NA,Bottom substrate: fractional cover of silt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFCWOOD,NA,Bottom substrate: fractional cover of wood,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFGRAY,NA,Bottom substrate: fraction of Gray substrate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFH2S,NA,Bottom substrate: fraction with H2S odor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFNONEODOR,NA,Bottom substrate: fraction with no odor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFOIL,NA,Bottom substrate: fraction with oil odor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFOTHERCOLOR,NA,Bottom substrate: fraction of other color substrate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFOTHERODOR,NA,Bottom substrate: fraction with other odor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFPBEDROCK,NA,Bottom substrate: fractional presence of bedrock,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFPBOULDERS,NA,Bottom substrate: fractional presence of Boulder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFPCOBBLE,NA,Bottom substrate: fractional presence of Cobble,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFPGRAVEL,NA,Bottom substrate: fractional presence of gravel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFPORGANIC,NA,Bottom substrate: fractional presence of organic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFPSAND,NA,Bottom substrate: fractional presence of sand,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFPSILT,NA,Bottom substrate: fractional presence of silt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFPWOOD,NA,Bottom substrate: fractional presence of wood,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSFRED,NA,Bottom substrate: fraction of Red substrate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSISITEVARIETY,NA,Bottom substrate: Number of substrate classes present at a site,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSISTAVARIETY,NA,Bottom substrate: Mean number of substrate classes present in each station,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSNBEDROCK,NA,Bottom substrate: number of stations with bedrock data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSNBOULDERS,NA,Bottom substrate: number of stations with boulder data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSNCOBBLE,NA,Bottom substrate: number of stations with cobble data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSNCOLOR,NA,Bottom substrate: number of bottom substrate color data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSNGRAVEL,NA,Bottom substrate: number of stations with gravel data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSNODOR,NA,Bottom substrate: number of stations with odor data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSNORGANIC,NA,Bottom substrate: number of stations with organic data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSNSAND,NA,Bottom substrate: number of stations with sand data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSNSILT,NA,Bottom substrate: number of stations with silt data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSNWOOD,NA,Bottom substrate: number of stations with wood data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSOCOLOR,NA,Bottom substrate: mode of color,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSOFCLASS,NA,Bottom substrate: Mode of bottom substrate by cover,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSOODOR,NA,Bottom substrate: Mode of bottom substrate odor class,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSOPCLASS,NA,Bottom substrate: Mode of bottom substrate by presence,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSVBEDROCK,NA,Bottom substrate: std dev. cover of bedrock,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSVBOULDERS,NA,Bottom substrate: std dev. cover of boulders,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSVCOBBLE,NA,Bottom substrate: std dev. cover of cobble,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSVGRAVEL,NA,Bottom substrate: std dev. cover of gravel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSVLDIA,NA,Bottom substrate: std dev. logged bottom substrate diameter (mineral),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSVORGANIC,NA,Bottom substrate: std dev. cover of organic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSVSAND,NA,Bottom substrate: std dev. cover of sand,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSVSILT,NA,Bottom substrate: std dev. cover of silt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSVWOOD,NA,Bottom substrate: std dev. cover of wood class,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BSXLDIA,NA,Bottom substrate: mean logged bottom substrate diameter (mineral),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BURRNIND,NA,Number of burrower individuals in sample,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURRNTAX,NA,No. of Burrowers taxa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURRPIND,NA,% Burrowers individuals,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURRPTAX,NA,% Burrowers taxa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_BIGTREES,NA,"Canopy big trees (Trunk > 0.3 DBH)(0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C_BIGTREES_DD,NA,percent cover by Canopy big trees (Trunk > 0.3 DBH) in the draw down zone,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
