"SAMPLE_TYPE","DATA_COLUMN","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS","filename_short","order","DESCRIPTION"
"MICX","MICX_HOLDING_TIME",NA,"NA","NA",NA,"algaltoxins",1,"Sample holding time for X-site Microcystin"
"MICX","MICX_RL",NA,"NA","NA","ug/L","algaltoxins",1,"Reporting limit for X-site Microcystin"
"MICX","MICX_QA_FLAG",NA,"NA","NA",NA,"algaltoxins",1,"QA flag associated with sample for X-site Microcystin"
"MICX","MICX_DATE_ANALYZED",NA,"NA","NA",NA,"algaltoxins",1,"Date of sample analysis for X-site Microcystin"
"MICX","MICX_UNITS",NA,"NA","NA",NA,"algaltoxins",1,"Units for X-site Microcystin"
"MICX","MICX_SAMPLE_ID",NA,"NA","NA",NA,"algaltoxins",1,"ID for sample collected for X-site Microcystin"
"MICX","MICX_FLAG",NA,"NA","NA",NA,"algaltoxins",1,"Flag for X-site Microcystin"
"MICX","MICX_BATCH_ID",NA,"NA","NA",NA,"algaltoxins",1,"Batch ID from lab for X-site Microcystin"
NA,"UID",NA,"NA","NA",NA,"algaltoxins",1,"Unique site visit ID"
NA,"ECO_BIO",NA,"NA","NA",NA,"algaltoxins",1,"Bioregions"
NA,"PUBLICATION_DATE",NA,"NA","NA",NA,"algaltoxins",1,"Publication Date"
NA,"LAB",NA,"NA","NA",NA,"algaltoxins",1,"Lab name"
"DESIGN","AGGR_ECO3_2015","EHIGH|PLNLOW|WMTNS","NA","NA",NA,"atrazine",2,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"DESIGN","AGGR_ECO9_2015","CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER","NA","NA",NA,"atrazine",2,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"DESIGN","STATE",NA,"NA","NA",NA,"atrazine",2,"State lake is assigned to for sampling in NLA 2012"
"VERIF","DATE_COL",NA,"NA","NA","None","atrazine",2,"Date of sample collection"
"VERIF","SITE_ID",NA,"NA","NA",NA,"atrazine",2,"Identification code for site"
"VERIF","VISIT_NO","|1|2","NA","NA",NA,"atrazine",2,"Sequential number of visit to site"
"TRIA","ATRAZINE_RESULT",NA,"NA","NA","ppb","atrazine",2,"Analyte value for Atrazine"
"TRIA","ATRAZINE_FLAG",NA,"NA","NA",NA,"atrazine",2,"Flag for Atrazine"
"TRIA","ATRAZINE_DATE_ANALYZED",NA,"NA","NA","datetime","atrazine",2,"Date sample was processed by lab for Atrazine"
"TRIA","ATRAZINE_DATE_RECEIVED",NA,"NA","NA","datetime","atrazine",2,"Date sample was received by lab for Atrazine"
"TRIA","ATRAZINE_BATCH_ID",NA,"NA","NA",NA,"atrazine",2,"Batch ID from lab for Atrazine"
"TRIA","ATRAZINE_MDL",NA,"NA","NA","ppb","atrazine",2,"Quality information: Method Detection Limit (MDL) associated with sample for Atrazine"
"TRIA","ATRAZINE_QA_FLAG",NA,"NA","NA",NA,"atrazine",2,"QA flag for Atrazine"
"TRIA","ATRAZINE_HOLDING_TIME",NA,"NA","NA","days","atrazine",2,"Time between sampling and lab analysis (days) for Atrazine"
"TRIA","ATRAZINE_LOQ",NA,"NA","NA","ppb","atrazine",2,"Quality information: Limit of Quantitation (LOQ) associated with sample for Atrazine"
"TRIA","ATRAZINE_UNITS",NA,"NA","NA",NA,"atrazine",2,"Units for Atrazine"
NA,"UID",NA,"NA","NA",NA,"atrazine",2,"Unique site visit ID"
NA,"ECO_BIO",NA,"NA","NA",NA,"atrazine",2,"Bioregions"
NA,"PUBLICATION_DATE",NA,"NA","NA",NA,"atrazine",2,"Publication Date"
NA,"LAB",NA,"NA","NA",NA,"atrazine",2,"Lab name"
NA,"TRIA_SAMPLE_ID",NA,"NA","NA",NA,"atrazine",2,"Triazine sample ID"
"BENT","COMP_PT",NA,"10","0","NONE","bentcond",3,"Composition metric score"
"BENT","DIVS_PT",NA,"10","0","NONE","bentcond",3,"Diversity metric score"
"BENT","FEED_PT",NA,"NA","NA","NONE","bentcond",3,"Functional feeding group metric score"
"BENT","HABT_PT",NA,"10","0","NONE","bentcond",3,"Habit metric score"
"BENT","MMI_BENT_NLA12",NA,"100","0","NONE","bentcond",3,"NLA 2012 Benthic MMI score"
"BENT","RICH_PT",NA,"10","0","NONE","bentcond",3,"Taxa richness metric score"
"BENT","TOLR_PT",NA,"10","0","NONE","bentcond",3,"Tolerance metric score"
"BENT","TOTLNIND",NA,"NA","0","NONE","bentcond",3,"Number of individuals in sample"
"BENT","BENT_COND","Good|Fair|Poor|Not Assessed","NA","NA","NONE","bentcond",3,"Benthic macroinvertebrate MMI condition class "
"DESIGN","AGGR_ECO3_2015","EHIGH|PLNLOW|WMTNS","NA","NA",NA,"bentcond",3,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"DESIGN","AGGR_ECO9_2015","CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER","NA","NA",NA,"bentcond",3,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"VERIF","DATE_COL",NA,"NA","NA","None","bentcond",3,"Date of sample collection"
"VERIF","SITE_ID",NA,"NA","NA",NA,"bentcond",3,"Identification code for site"
"VERIF","VISIT_NO","|1|2","NA","NA",NA,"bentcond",3,"Sequential number of visit to site"
NA,"UID",NA,"NA","NA",NA,"bentcond",3,"Unique site visit ID"
NA,"ECO_BIO",NA,"NA","NA",NA,"bentcond",3,"Bioregions"
NA,"PUBLICATION_DATE",NA,"NA","NA",NA,"bentcond",3,"Publication Date"
"BENT","AMPHNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Amphipoda individuals in sample"
"BENT","AMPHNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Amphipoda taxa"
"BENT","AMPHPIND",NA,"100","0","NONE","bentmet",4,"% Amphipoda individuals"
"BENT","AMPHPTAX",NA,"100","0","NONE","bentmet",4,"% Amphipoda taxa"
"BENT","BURRNIND",NA,"NA","NA","NONE","bentmet",4,"Number of burrower individuals in sample"
"BENT","BURRNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Burrowers taxa"
"BENT","BURRPIND",NA,"100","0","NONE","bentmet",4,"% Burrowers individuals"
"BENT","BURRPTAX",NA,"100","0","NONE","bentmet",4,"% Burrowers taxa"
"BENT","CHIRDOM1PIND",NA,"100","0","NONE","bentmet",4,"% individuals in most abundant distinct Chironomidae taxon"
"BENT","CHIRDOM3PIND",NA,"100","0","NONE","bentmet",4,"% individuals in most abundant 3 distinct Chironomidae taxa"
"BENT","CHIRDOM5PIND",NA,"100","0","NONE","bentmet",4,"% individuals in most abundant 5 distinct Chironomidae taxa"
"BENT","CHIRNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Chironomidae individuals in sample"
"BENT","CHIRNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Chironomidae taxa"
"BENT","CHIRPIND",NA,"100","0","NONE","bentmet",4,"% Chironomidae individuals"
"BENT","CHIRPTAX",NA,"100","0","NONE","bentmet",4,"% Chironomidae taxa"
"BENT","CLMBNIND",NA,"NA","NA","NONE","bentmet",4,"Number of climber individuals in sample"
"BENT","CLMBNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Climbers taxa"
"BENT","CLMBPIND",NA,"100","0","NONE","bentmet",4,"% Climbers individuals"
"BENT","CLMBPTAX",NA,"100","0","NONE","bentmet",4,"% Climbers taxa"
"BENT","CLNGNIND",NA,"NA","NA","NONE","bentmet",4,"Number of clinger individuals in sample"
"BENT","CLNGNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Clingers taxa"
"BENT","CLNGPIND",NA,"100","0","NONE","bentmet",4,"% Clingers individuals"
"BENT","CLNGPTAX",NA,"100","0","NONE","bentmet",4,"% Clingers taxa"
"BENT","COFININD",NA,"NA","NA","NONE","bentmet",4,"Number of collector-filterers individuals in sample"
"BENT","COFINTAX",NA,"NA","0","NONE","bentmet",4,"No. of Collecter-filterer taxa"
"BENT","COFIPIND",NA,"100","0","NONE","bentmet",4,"% Collecter-filterer individuals"
"BENT","COFIPTAX",NA,"100","0","NONE","bentmet",4,"% Collecter-filterer taxa"
"BENT","COFITRICNIND",NA,"NA","NA","NONE","bentmet",4,"Number of collector-filterer Trichoptera individuals in sample"
"BENT","COFITRICNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Collector-filterer Trichoptera taxa"
"BENT","COFITRICPIND",NA,"100","0","NONE","bentmet",4,"% Collector-filterer Trichoptera individuals"
"BENT","COFITRICPTAX",NA,"100","0","NONE","bentmet",4,"% Collector-filterer Trichoptera taxa"
"BENT","COGANIND",NA,"NA","NA","NONE","bentmet",4,"Number of collector-gatherers individuals in sample"
"BENT","COGANTAX",NA,"NA","0","NONE","bentmet",4,"No. of Collecter-gatherer taxa"
"BENT","COGAPIND",NA,"100","0","NONE","bentmet",4,"% Collecter-gatherer individuals"
"BENT","COGAPTAX",NA,"100","0","NONE","bentmet",4,"% Collecter-gatherer taxa"
"BENT","CRUSNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Crustacea individuals in sample"
"BENT","CRUSNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Crustaceans taxa"
"BENT","CRUSPIND",NA,"100","0","NONE","bentmet",4,"% Crustaceans individuals"
"BENT","CRUSPTAX",NA,"100","0","NONE","bentmet",4,"% Crustaceans taxa"
"BENT","DIPTNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Diptera individuals in sample"
"BENT","DIPTNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Diptera taxa"
"BENT","DIPTPIND",NA,"100","0","NONE","bentmet",4,"% Diptera individuals"
"BENT","DIPTPTAX",NA,"100","0","NONE","bentmet",4,"% Diptera taxa"
"BENT","DOM1PIND",NA,"100","0","NONE","bentmet",4,"% individuals in dominant distinct taxon"
"BENT","DOM3PIND",NA,"100","0","NONE","bentmet",4,"% individuals in dominant 3 distinct taxa"
"BENT","DOM5PIND",NA,"100","0","NONE","bentmet",4,"% individuals in dominant 5 distinct taxa"
"BENT","EPHENIND",NA,"NA","NA","NONE","bentmet",4,"Number of Ephemeroptera individuals in sample"
"BENT","EPHENTAX",NA,"NA","0","NONE","bentmet",4,"No. of Ephemeroptera taxa"
"BENT","EPHEPIND",NA,"100","0","NONE","bentmet",4,"% Ephemeroptera individuals"
"BENT","EPHEPTAX",NA,"100","0","NONE","bentmet",4,"% Ephemeroptera taxa"
"BENT","EPOTNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Ephemeroptera, Plecoptera, Odonata, and Trichoptera individuals in sample"
"BENT","EPOTNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa"
"BENT","EPOTPIND",NA,"100","0","NONE","bentmet",4,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera individuals"
"BENT","EPOTPTAX",NA,"100","0","NONE","bentmet",4,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa"
"BENT","EPT_NIND",NA,"NA","NA","NONE","bentmet",4,"Number of Ephemeroptera, Plecoptera, and Trichoptera individuals in sample"
"BENT","EPT_NTAX",NA,"NA","0","NONE","bentmet",4,"No. of EPT taxa"
"BENT","EPT_PIND",NA,"100","0","NONE","bentmet",4,"% EPT individuals"
"BENT","EPT_PTAX",NA,"100","0","NONE","bentmet",4,"% EPT taxa"
"BENT","FACLNIND",NA,"NA","NA","NONE","bentmet",4,"Number of individuals in sample with tolerance value >3 and <7"
"BENT","FACLNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Facultative (3< PTV <7) taxa"
"BENT","FACLPIND",NA,"100","0","NONE","bentmet",4,"% Facultative (3< PTV <7) individuals"
"BENT","FACLPTAX",NA,"100","0","NONE","bentmet",4,"% Facultative (3< PTV <7) taxa"
"BENT","HEMININD",NA,"NA","NA","NONE","bentmet",4,"Number of Hemiptera individuals in sample"
"BENT","HEMINTAX",NA,"NA","0","NONE","bentmet",4,"No. of Hemiptera taxa"
"BENT","HEMIPIND",NA,"100","0","NONE","bentmet",4,"% Hemiptera individuals"
"BENT","HEMIPTAX",NA,"100","0","NONE","bentmet",4,"% Hemiptera taxa"
"BENT","HPRIME",NA,"NA","0","NONE","bentmet",4,"Shannon diversity- sum of prop_i*ln(prop_i) based only on distinct taxa, where prop_i=proportion of species i in sample"
"BENT","INTLNIND",NA,"NA","NA","NONE","bentmet",4,"Number of individuals in sample with tolerance value <=3"
"BENT","INTLNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Intolerant (PTV<=3) taxa"
"BENT","INTLPIND",NA,"100","0","NONE","bentmet",4,"% Intolerant (PTV<=3) individuals"
"BENT","INTLPTAX",NA,"100","0","NONE","bentmet",4,"% Intolerant (PTV<=3) taxa"
"BENT","MITENIND",NA,"NA","NA","NONE","bentmet",4,"Number of mite individuals in sample"
"BENT","MITENTAX",NA,"NA","0","NONE","bentmet",4,"No. of Mite taxa"
"BENT","MITEPIND",NA,"100","0","NONE","bentmet",4,"% Mite individuals"
"BENT","MITEPTAX",NA,"100","0","NONE","bentmet",4,"% Mite taxa"
"BENT","MOLLNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Mollusca individuals in sample"
"BENT","MOLLNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Mollusca taxa"
"BENT","MOLLPIND",NA,"100","0","NONE","bentmet",4,"% Mollusca individuals"
"BENT","MOLLPTAX",NA,"100","0","NONE","bentmet",4,"% Mollusca taxa"
"BENT","NOINNIND",NA,"NA","NA","NONE","bentmet",4,"Number of non-insects individuals in sample"
"BENT","NOINNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Non-insects taxa"
"BENT","NOINPIND",NA,"100","0","NONE","bentmet",4,"% Non-insects individuals"
"BENT","NOINPTAX",NA,"100","0","NONE","bentmet",4,"% Non-insects taxa"
"BENT","NTOLNIND",NA,"NA","NA","NONE","bentmet",4,"Number of individuals in sample with tolerance value <6"
"BENT","NTOLNTAX",NA,"NA","0","NONE","bentmet",4,"No. of non-tolerants (PTV<6) taxa"
"BENT","NTOLPIND",NA,"100","0","NONE","bentmet",4,"% non-tolerants (PTV<6) individuals"
"BENT","NTOLPTAX",NA,"100","0","NONE","bentmet",4,"% non-tolerants (PTV<6) taxa"
"BENT","ODONNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Odonata individuals in sample"
"BENT","ODONNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Odonata taxa"
"BENT","ODONPIND",NA,"100","0","NONE","bentmet",4,"% Odonata individuals"
"BENT","ODONPTAX",NA,"100","0","NONE","bentmet",4,"% Odonata taxa"
"BENT","OLLENIND",NA,"NA","NA","NONE","bentmet",4,"Number of oligochaete and leech individuals in sample"
"BENT","OLLENTAX",NA,"NA","0","NONE","bentmet",4,"No. of Oligochaete and leech taxa"
"BENT","OLLEPIND",NA,"100","0","NONE","bentmet",4,"% Oligochaete and leech individuals"
"BENT","OLLEPTAX",NA,"100","0","NONE","bentmet",4,"% Oligochaete and leech taxa"
"BENT","ORTHCHIRPIND",NA,"100","0","NONE","bentmet",4,"% Chironomidae individuals in Orthocladiinae"
"BENT","ORTHNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Orthocladiinae individuals in sample"
"BENT","ORTHNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Orthocladiinae chironomid taxa"
"BENT","ORTHPIND",NA,"100","0","NONE","bentmet",4,"% Orthocladiinae chironomid individuals"
"BENT","ORTHPTAX",NA,"100","0","NONE","bentmet",4,"% Orthocladiinae chironomid taxa"
"BENT","PLECNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Plecoptera individuals in sample"
"BENT","PLECNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Plecoptera taxa"
"BENT","PLECPIND",NA,"100","0","NONE","bentmet",4,"% Plecoptera individuals"
"BENT","PLECPTAX",NA,"100","0","NONE","bentmet",4,"% Plecoptera taxa"
"BENT","PREDNIND",NA,"NA","NA","NONE","bentmet",4,"Number of predator individuals in sample"
"BENT","PREDNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Predators taxa"
"BENT","PREDPIND",NA,"100","0","NONE","bentmet",4,"% Predators individuals"
"BENT","PREDPTAX",NA,"100","0","NONE","bentmet",4,"% Predators taxa"
"BENT","SCRPNIND",NA,"NA","NA","NONE","bentmet",4,"Number of scraper individuals in sample"
"BENT","SCRPNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Scrapers taxa"
"BENT","SCRPPIND",NA,"100","0","NONE","bentmet",4,"% Scrapers individuals"
"BENT","SCRPPTAX",NA,"100","0","NONE","bentmet",4,"% Scrapers taxa"
"BENT","SHRDNIND",NA,"NA","NA","NONE","bentmet",4,"Number of shredder individuals in sample"
"BENT","SHRDNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Shredders taxa"
"BENT","SHRDPIND",NA,"100","0","NONE","bentmet",4,"% Shredders individuals"
"BENT","SHRDPTAX",NA,"100","0","NONE","bentmet",4,"% Shredders taxa"
"BENT","SPWLNIND",NA,"NA","NA","NONE","bentmet",4,"Number of sprawler individuals in sample"
"BENT","SPWLNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Sprawlers taxa"
"BENT","SPWLPIND",NA,"100","0","NONE","bentmet",4,"% Sprawlers individuals"
"BENT","SPWLPTAX",NA,"100","0","NONE","bentmet",4,"% Sprawlers taxa"
"BENT","STOLNIND",NA,"NA","NA","NONE","bentmet",4,"Number of individuals in sample with tolerance value >=8"
"BENT","STOLNTAX",NA,"NA","0","NONE","bentmet",4,"No. of taxa with PTV>=8"
"BENT","STOLPIND",NA,"100","0","NONE","bentmet",4,"% Individuals with PTV>=8"
"BENT","STOLPTAX",NA,"100","0","NONE","bentmet",4,"% taxa with PTV>=8"
"BENT","SWIMNIND",NA,"NA","NA","NONE","bentmet",4,"Number of swimmer individuals in sample"
"BENT","SWIMNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Swimmers taxa"
"BENT","SWIMPIND",NA,"100","0","NONE","bentmet",4,"% Swimmers individuals"
"BENT","SWIMPTAX",NA,"100","0","NONE","bentmet",4,"% Swimmers taxa"
"BENT","TANYNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Tanytarsini individuals in sample"
"BENT","TANYNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Tanytarsini taxa"
"BENT","TANYPIND",NA,"100","0","NONE","bentmet",4,"% Tanytarsini individuals"
"BENT","TANYPTAX",NA,"100","0","NONE","bentmet",4,"% Tanytarsini taxa"
"BENT","TL01NIND",NA,"NA","NA","NONE","bentmet",4,"Number of individuals in sample with tolerance value <2"
"BENT","TL01NTAX",NA,"NA","0","NONE","bentmet",4,"No. of taxa with PTV<2"
"BENT","TL01PIND",NA,"100","0","NONE","bentmet",4,"% Individuals with PTV <2"
"BENT","TL01PTAX",NA,"100","0","NONE","bentmet",4,"% taxa with PTV<2"
"BENT","TL23NIND",NA,"NA","NA","NONE","bentmet",4,"Number of individuals in sample with tolerance value >=2 and <4"
"BENT","TL23NTAX",NA,"NA","0","NONE","bentmet",4,"No. taxa with PTV >=2 & <4"
"BENT","TL23PIND",NA,"100","0","NONE","bentmet",4,"% individuals with PTV >=2 & <4"
"BENT","TL23PTAX",NA,"100","0","NONE","bentmet",4,"% taxa with PTV>=2 & <4"
"BENT","TL45NIND",NA,"NA","NA","NONE","bentmet",4,"Number of individuals in sample with tolerance value >=4 and <6"
"BENT","TL45NTAX",NA,"NA","0","NONE","bentmet",4,"No. taxa with PTV >=4 & <6"
"BENT","TL45PIND",NA,"100","0","NONE","bentmet",4,"% individuals with PTV >=4 & <6"
"BENT","TL45PTAX",NA,"100","0","NONE","bentmet",4,"% taxa with PTV>=4 & <6"
"BENT","TL67NIND",NA,"NA","NA","NONE","bentmet",4,"Number of individuals in sample with tolerance value >=6 and <8"
"BENT","TL67NTAX",NA,"NA","0","NONE","bentmet",4,"No. taxa with PTV >=6 & <8"
"BENT","TL67PIND",NA,"100","0","NONE","bentmet",4,"% individuals with PTV >=6 & <8"
"BENT","TL67PTAX",NA,"100","0","NONE","bentmet",4,"% taxa with PTV>=6 & <8"
"BENT","TL89NIND",NA,"NA","NA","NONE","bentmet",4,"Number of individuals in sample with tolerance value >=8 and <10"
"BENT","TL89NTAX",NA,"NA","NA","NONE","bentmet",4,"Number of taxa in sample with tolerance value >=8 and <10"
"BENT","TL89PIND",NA,"NA","NA","NONE","bentmet",4,"Percent of individuals in sample with tolerance value >=8 and <10"
"BENT","TL89PTAX",NA,"NA","NA","NONE","bentmet",4,"Percent of taxa in sample with tolerance value >=8 and <10"
"BENT","TOLRNIND",NA,"NA","NA","NONE","bentmet",4,"Number of individuals in sample with tolerance value >=7"
"BENT","TOLRNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Tolerant (PTV>=7) taxa"
"BENT","TOLRPIND",NA,"100","0","NONE","bentmet",4,"% Tolerant (PTV>=7) individuals"
"BENT","TOLRPTAX",NA,"100","0","NONE","bentmet",4,"% Tolerant (PTV>=7) taxa"
"BENT","TOTLNIND",NA,"NA","0","NONE","bentmet",4,"Number of individuals in sample"
"BENT","TOTLNTAX",NA,"NA","0","NONE","bentmet",4,"Number of distinct taxa in sample"
"BENT","TRICNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Trichoptera individuals in sample"
"BENT","TRICNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Trichoptera taxa"
"BENT","TRICPIND",NA,"100","0","NONE","bentmet",4,"% Trichoptera individuals"
"BENT","TRICPTAX",NA,"100","0","NONE","bentmet",4,"% Trichoptera taxa"
"BENT","TUBINAIDNIND",NA,"NA","NA","NONE","bentmet",4,"Number of Tubificidae and Naididae individuals in sample"
"BENT","TUBINAIDNTAX",NA,"NA","0","NONE","bentmet",4,"No. of Tubificidae and Naididae taxa"
"BENT","TUBINAIDPIND",NA,"100","0","NONE","bentmet",4,"% Tubificidae and Naididae individuals"
"BENT","TUBINAIDPTAX",NA,"100","0","NONE","bentmet",4,"% Tubificidae and Naididae taxa"
"BENT","WTD_TV",NA,"10","0","NONE","bentmet",4,"Hilsenhoff Biotic Index (HBI), sum of TV_i*prop_i, where TV_i=tolerance value for species i and prop_i=proportion of taxon i in sample, based on all taxa in sample"
"DESIGN","AGGR_ECO3_2015","EHIGH|PLNLOW|WMTNS","NA","NA",NA,"bentmet",4,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"DESIGN","AGGR_ECO9_2015","CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER","NA","NA",NA,"bentmet",4,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"VERIF","DATE_COL",NA,"NA","NA","None","bentmet",4,"Date of sample collection"
"VERIF","SITE_ID",NA,"NA","NA",NA,"bentmet",4,"Identification code for site"
"VERIF","VISIT_NO","|1|2","NA","NA",NA,"bentmet",4,"Sequential number of visit to site"
NA,"UID",NA,"NA","NA",NA,"bentmet",4,"Unique site visit ID"
NA,"ECO_BIO",NA,"NA","NA",NA,"bentmet",4,"Bioregions"
NA,"YEAR",NA,"NA","NA",NA,"bentmet",4,"Year"
"INVERTEBRATES","CLASS",NA,"NA","NA",NA,"benttaxa",5,"Class of taxon"
"INVERTEBRATES","FAMILY",NA,"NA","NA",NA,"benttaxa",5,"Family of taxon"
"INVERTEBRATES","FFG","CF|CG|PI|PR|SC|SH","NA","NA","None","benttaxa",5,"Functional feeding group for macroinvertebrates, codes separated by commas if more than one"
"INVERTEBRATES","GENUS",NA,"NA","NA",NA,"benttaxa",5,"Genus of taxon"
"INVERTEBRATES","HABIT","BU|CB|CN|DV|PK|SK|SP|SW","NA","NA","None","benttaxa",5,"Habit designation for macroinvertebrates"
"INVERTEBRATES","NON_TARGET","N|Y","NA","NA","None","benttaxa",5,"Macroinvertebrate designation for non-target taxon"
"INVERTEBRATES","ORDER",NA,"NA","NA",NA,"benttaxa",5,"Order of taxon"
"INVERTEBRATES","PHYLUM",NA,"NA","NA",NA,"benttaxa",5,"Phylum of taxon"
"INVERTEBRATES","PTV",NA,"10","0","None","benttaxa",5,"Pollution tolerance value for macroinvertebrate taxon"
"INVERTEBRATES","SPECIES",NA,"NA","NA",NA,"benttaxa",5,"Species of taxon"
"INVERTEBRATES","SUBCLASS",NA,"NA","NA",NA,"benttaxa",5,"Subclass of taxon"
"INVERTEBRATES","SUBFAMILY",NA,"NA","NA",NA,"benttaxa",5,"Subfamily of taxon"
"INVERTEBRATES","SUBORDER",NA,"NA","NA",NA,"benttaxa",5,"Suborder of taxon"
"INVERTEBRATES","TARGET_TAXON",NA,"NA","NA",NA,"benttaxa",5,"Name of taxon at target taxon level"
"INVERTEBRATES","TRIBE",NA,"NA","NA",NA,"benttaxa",5,"Tribe of taxon"
NA,"PUBLICATION_DATE",NA,"NA","NA",NA,"benttaxa",5,"Publication Date"
NA,"TAXA_ID",NA,"NA","NA",NA,"benttaxa",5,"Taxa identification number"
NA,"ASSEMBLAGE_NAME",NA,"NA","NA",NA,"benttaxa",5,"Assemblage of taxon"
