"dataset","field","units","description"
"atrazine","AGGR_ECO3_2015",NA,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"atrazine","AGGR_ECO9_2015",NA,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"atrazine","STATE",NA,"State lake is assigned to for sampling in NLA 2012"
"atrazine","DATE_COL",NA,"Date of sample collection"
"atrazine","SITE_ID",NA,"Identification code for site"
"atrazine","VISIT_NO",NA,"Sequential number of visit to site"
"atrazine","ATRAZINE_RESULT","ppb","Analyte value for Atrazine"
"atrazine","ATRAZINE_FLAG",NA,"Flag for Atrazine"
"atrazine","ATRAZINE_DATE_ANALYZED","datetime","Date sample was processed by lab for Atrazine"
"atrazine","ATRAZINE_DATE_RECEIVED","datetime","Date sample was received by lab for Atrazine"
"atrazine","ATRAZINE_BATCH_ID",NA,"Batch ID from lab for Atrazine"
"atrazine","ATRAZINE_MDL","ppb","Quality information: Method Detection Limit (MDL) associated with sample for Atrazine"
"atrazine","ATRAZINE_QA_FLAG",NA,"QA flag for Atrazine"
"atrazine","ATRAZINE_HOLDING_TIME","days","Time between sampling and lab analysis (days) for Atrazine"
"atrazine","ATRAZINE_LOQ","ppb","Quality information: Limit of Quantitation (LOQ) associated with sample for Atrazine"
"atrazine","ATRAZINE_UNITS",NA,"Units for Atrazine"
"atrazine","UID",NA,"Unique identifier for sampling event"
"atrazine","ECO_BIO",NA,"Bioregions"
"atrazine","PUBLICATION_DATE",NA,"Publication Date"
"atrazine","LAB",NA,"Lab name"
"atrazine","TRIA_SAMPLE_ID",NA,"Triazine sample ID"
"bentcond","COMP_PT",NA,"Composition metric score"
"bentcond","DIVS_PT",NA,"Diversity metric score"
"bentcond","FEED_PT",NA,"Functional feeding group metric score"
"bentcond","HABT_PT",NA,"Habit metric score"
"bentcond","MMI_BENT_NLA12",NA,"NLA 2012 Benthic MMI score"
"bentcond","RICH_PT",NA,"Taxa richness metric score"
"bentcond","TOLR_PT",NA,"Tolerance metric score"
"bentcond","TOTLNIND",NA,"Number of individuals in sample"
"bentcond","BENT_COND",NA,"Benthic macroinvertebrate MMI condition class"
"bentcond","AGGR_ECO3_2015",NA,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"bentcond","AGGR_ECO9_2015",NA,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"bentcond","DATE_COL",NA,"Date of sample collection"
"bentcond","SITE_ID",NA,"Identification code for site"
"bentcond","VISIT_NO",NA,"Sequential number of visit to site"
"bentcond","UID",NA,"Unique identifier for sampling event"
"bentcond","ECO_BIO",NA,"Bioregions"
"bentcond","PUBLICATION_DATE",NA,"Publication Date"
"bentmet","AMPHNIND",NA,"Number of Amphipoda individuals in sample"
"bentmet","AMPHNTAX",NA,"No. of Amphipoda taxa"
"bentmet","AMPHPIND",NA,"% Amphipoda individuals"
"bentmet","AMPHPTAX",NA,"% Amphipoda taxa"
"bentmet","BURRNIND",NA,"Number of burrower individuals in sample"
"bentmet","BURRNTAX",NA,"No. of Burrowers taxa"
"bentmet","BURRPIND",NA,"% Burrowers individuals"
"bentmet","BURRPTAX",NA,"% Burrowers taxa"
"bentmet","CHIRDOM1PIND",NA,"% individuals in most abundant distinct Chironomidae taxon"
"bentmet","CHIRDOM3PIND",NA,"% individuals in most abundant 3 distinct Chironomidae taxa"
"bentmet","CHIRDOM5PIND",NA,"% individuals in most abundant 5 distinct Chironomidae taxa"
"bentmet","CHIRNIND",NA,"Number of Chironomidae individuals in sample"
"bentmet","CHIRNTAX",NA,"No. of Chironomidae taxa"
"bentmet","CHIRPIND",NA,"% Chironomidae individuals"
"bentmet","CHIRPTAX",NA,"% Chironomidae taxa"
"bentmet","CLMBNIND",NA,"Number of climber individuals in sample"
"bentmet","CLMBNTAX",NA,"No. of Climbers taxa"
"bentmet","CLMBPIND",NA,"% Climbers individuals"
"bentmet","CLMBPTAX",NA,"% Climbers taxa"
"bentmet","CLNGNIND",NA,"Number of clinger individuals in sample"
"bentmet","CLNGNTAX",NA,"No. of Clingers taxa"
"bentmet","CLNGPIND",NA,"% Clingers individuals"
"bentmet","CLNGPTAX",NA,"% Clingers taxa"
"bentmet","COFININD",NA,"Number of collector-filterers individuals in sample"
"bentmet","COFINTAX",NA,"No. of Collecter-filterer taxa"
"bentmet","COFIPIND",NA,"% Collecter-filterer individuals"
"bentmet","COFIPTAX",NA,"% Collecter-filterer taxa"
"bentmet","COFITRICNIND",NA,"Number of collector-filterer Trichoptera individuals in sample"
"bentmet","COFITRICNTAX",NA,"No. of Collector-filterer Trichoptera taxa"
"bentmet","COFITRICPIND",NA,"% Collector-filterer Trichoptera individuals"
"bentmet","COFITRICPTAX",NA,"% Collector-filterer Trichoptera taxa"
"bentmet","COGANIND",NA,"Number of collector-gatherers individuals in sample"
"bentmet","COGANTAX",NA,"No. of Collecter-gatherer taxa"
"bentmet","COGAPIND",NA,"% Collecter-gatherer individuals"
"bentmet","COGAPTAX",NA,"% Collecter-gatherer taxa"
"bentmet","CRUSNIND",NA,"Number of Crustacea individuals in sample"
"bentmet","CRUSNTAX",NA,"No. of Crustaceans taxa"
"bentmet","CRUSPIND",NA,"% Crustaceans individuals"
"bentmet","CRUSPTAX",NA,"% Crustaceans taxa"
"bentmet","DIPTNIND",NA,"Number of Diptera individuals in sample"
"bentmet","DIPTNTAX",NA,"No. of Diptera taxa"
"bentmet","DIPTPIND",NA,"% Diptera individuals"
"bentmet","DIPTPTAX",NA,"% Diptera taxa"
"bentmet","DOM1PIND",NA,"% individuals in dominant distinct taxon"
"bentmet","DOM3PIND",NA,"% individuals in dominant 3 distinct taxa"
"bentmet","DOM5PIND",NA,"% individuals in dominant 5 distinct taxa"
"bentmet","EPHENIND",NA,"Number of Ephemeroptera individuals in sample"
"bentmet","EPHENTAX",NA,"No. of Ephemeroptera taxa"
"bentmet","EPHEPIND",NA,"% Ephemeroptera individuals"
"bentmet","EPHEPTAX",NA,"% Ephemeroptera taxa"
"bentmet","EPOTNIND",NA,"Number of Ephemeroptera, Plecoptera, Odonata, and Trichoptera individuals in sample"
"bentmet","EPOTNTAX",NA,"No. of Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa"
"bentmet","EPOTPIND",NA,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera individuals"
"bentmet","EPOTPTAX",NA,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa"
"bentmet","EPT_NIND",NA,"Number of Ephemeroptera, Plecoptera, and Trichoptera individuals in sample"
"bentmet","EPT_NTAX",NA,"No. of EPT taxa"
"bentmet","EPT_PIND",NA,"% EPT individuals"
"bentmet","EPT_PTAX",NA,"% EPT taxa"
"bentmet","FACLNIND",NA,"Number of individuals in sample with tolerance value >3 and <7"
"bentmet","FACLNTAX",NA,"No. of Facultative (3< PTV <7) taxa"
"bentmet","FACLPIND",NA,"% Facultative (3< PTV <7) individuals"
"bentmet","FACLPTAX",NA,"% Facultative (3< PTV <7) taxa"
"bentmet","HEMININD",NA,"Number of Hemiptera individuals in sample"
"bentmet","HEMINTAX",NA,"No. of Hemiptera taxa"
"bentmet","HEMIPIND",NA,"% Hemiptera individuals"
"bentmet","HEMIPTAX",NA,"% Hemiptera taxa"
"bentmet","HPRIME",NA,"Shannon diversity- sum of prop_i*ln(prop_i) based only on distinct taxa, where prop_i=proportion of species i in sample"
"bentmet","INTLNIND",NA,"Number of individuals in sample with tolerance value <=3"
"bentmet","INTLNTAX",NA,"No. of Intolerant (PTV<=3) taxa"
"bentmet","INTLPIND",NA,"% Intolerant (PTV<=3) individuals"
"bentmet","INTLPTAX",NA,"% Intolerant (PTV<=3) taxa"
"bentmet","MITENIND",NA,"Number of mite individuals in sample"
"bentmet","MITENTAX",NA,"No. of Mite taxa"
"bentmet","MITEPIND",NA,"% Mite individuals"
"bentmet","MITEPTAX",NA,"% Mite taxa"
"bentmet","MOLLNIND",NA,"Number of Mollusca individuals in sample"
"bentmet","MOLLNTAX",NA,"No. of Mollusca taxa"
"bentmet","MOLLPIND",NA,"% Mollusca individuals"
"bentmet","MOLLPTAX",NA,"% Mollusca taxa"
"bentmet","NOINNIND",NA,"Number of non-insects individuals in sample"
"bentmet","NOINNTAX",NA,"No. of Non-insects taxa"
"bentmet","NOINPIND",NA,"% Non-insects individuals"
"bentmet","NOINPTAX",NA,"% Non-insects taxa"
"bentmet","NTOLNIND",NA,"Number of individuals in sample with tolerance value <6"
"bentmet","NTOLNTAX",NA,"No. of non-tolerants (PTV<6) taxa"
"bentmet","NTOLPIND",NA,"% non-tolerants (PTV<6) individuals"
"bentmet","NTOLPTAX",NA,"% non-tolerants (PTV<6) taxa"
"bentmet","ODONNIND",NA,"Number of Odonata individuals in sample"
"bentmet","ODONNTAX",NA,"No. of Odonata taxa"
"bentmet","ODONPIND",NA,"% Odonata individuals"
"bentmet","ODONPTAX",NA,"% Odonata taxa"
"bentmet","OLLENIND",NA,"Number of oligochaete and leech individuals in sample"
"bentmet","OLLENTAX",NA,"No. of Oligochaete and leech taxa"
"bentmet","OLLEPIND",NA,"% Oligochaete and leech individuals"
"bentmet","OLLEPTAX",NA,"% Oligochaete and leech taxa"
"bentmet","ORTHCHIRPIND",NA,"% Chironomidae individuals in Orthocladiinae"
"bentmet","ORTHNIND",NA,"Number of Orthocladiinae individuals in sample"
"bentmet","ORTHNTAX",NA,"No. of Orthocladiinae chironomid taxa"
"bentmet","ORTHPIND",NA,"% Orthocladiinae chironomid individuals"
"bentmet","ORTHPTAX",NA,"% Orthocladiinae chironomid taxa"
"bentmet","PLECNIND",NA,"Number of Plecoptera individuals in sample"
"bentmet","PLECNTAX",NA,"No. of Plecoptera taxa"
"bentmet","PLECPIND",NA,"% Plecoptera individuals"
"bentmet","PLECPTAX",NA,"% Plecoptera taxa"
"bentmet","PREDNIND",NA,"Number of predator individuals in sample"
"bentmet","PREDNTAX",NA,"No. of Predators taxa"
"bentmet","PREDPIND",NA,"% Predators individuals"
"bentmet","PREDPTAX",NA,"% Predators taxa"
"bentmet","SCRPNIND",NA,"Number of scraper individuals in sample"
"bentmet","SCRPNTAX",NA,"No. of Scrapers taxa"
"bentmet","SCRPPIND",NA,"% Scrapers individuals"
"bentmet","SCRPPTAX",NA,"% Scrapers taxa"
"bentmet","SHRDNIND",NA,"Number of shredder individuals in sample"
"bentmet","SHRDNTAX",NA,"No. of Shredders taxa"
"bentmet","SHRDPIND",NA,"% Shredders individuals"
"bentmet","SHRDPTAX",NA,"% Shredders taxa"
"bentmet","SPWLNIND",NA,"Number of sprawler individuals in sample"
"bentmet","SPWLNTAX",NA,"No. of Sprawlers taxa"
"bentmet","SPWLPIND",NA,"% Sprawlers individuals"
"bentmet","SPWLPTAX",NA,"% Sprawlers taxa"
"bentmet","STOLNIND",NA,"Number of individuals in sample with tolerance value >=8"
"bentmet","STOLNTAX",NA,"No. of taxa with PTV>=8"
"bentmet","STOLPIND",NA,"% Individuals with PTV>=8"
"bentmet","STOLPTAX",NA,"% taxa with PTV>=8"
"bentmet","SWIMNIND",NA,"Number of swimmer individuals in sample"
"bentmet","SWIMNTAX",NA,"No. of Swimmers taxa"
"bentmet","SWIMPIND",NA,"% Swimmers individuals"
"bentmet","SWIMPTAX",NA,"% Swimmers taxa"
"bentmet","TANYNIND",NA,"Number of Tanytarsini individuals in sample"
"bentmet","TANYNTAX",NA,"No. of Tanytarsini taxa"
"bentmet","TANYPIND",NA,"% Tanytarsini individuals"
"bentmet","TANYPTAX",NA,"% Tanytarsini taxa"
"bentmet","TL01NIND",NA,"Number of individuals in sample with tolerance value <2"
"bentmet","TL01NTAX",NA,"No. of taxa with PTV<2"
"bentmet","TL01PIND",NA,"% Individuals with PTV <2"
"bentmet","TL01PTAX",NA,"% taxa with PTV<2"
"bentmet","TL23NIND",NA,"Number of individuals in sample with tolerance value >=2 and <4"
"bentmet","TL23NTAX",NA,"No. taxa with PTV >=2 & <4"
"bentmet","TL23PIND",NA,"% individuals with PTV >=2 & <4"
"bentmet","TL23PTAX",NA,"% taxa with PTV>=2 & <4"
"bentmet","TL45NIND",NA,"Number of individuals in sample with tolerance value >=4 and <6"
"bentmet","TL45NTAX",NA,"No. taxa with PTV >=4 & <6"
"bentmet","TL45PIND",NA,"% individuals with PTV >=4 & <6"
"bentmet","TL45PTAX",NA,"% taxa with PTV>=4 & <6"
"bentmet","TL67NIND",NA,"Number of individuals in sample with tolerance value >=6 and <8"
"bentmet","TL67NTAX",NA,"No. taxa with PTV >=6 & <8"
"bentmet","TL67PIND",NA,"% individuals with PTV >=6 & <8"
"bentmet","TL67PTAX",NA,"% taxa with PTV>=6 & <8"
"bentmet","TL89NIND",NA,"Number of individuals in sample with tolerance value >=8 and <10"
"bentmet","TL89NTAX",NA,"Number of taxa in sample with tolerance value >=8 and <10"
"bentmet","TL89PIND",NA,"Percent of individuals in sample with tolerance value >=8 and <10"
"bentmet","TL89PTAX",NA,"Percent of taxa in sample with tolerance value >=8 and <10"
"bentmet","TOLRNIND",NA,"Number of individuals in sample with tolerance value >=7"
"bentmet","TOLRNTAX",NA,"No. of Tolerant (PTV>=7) taxa"
"bentmet","TOLRPIND",NA,"% Tolerant (PTV>=7) individuals"
"bentmet","TOLRPTAX",NA,"% Tolerant (PTV>=7) taxa"
"bentmet","TOTLNIND",NA,"Number of individuals in sample"
"bentmet","TOTLNTAX",NA,"Number of distinct taxa in sample"
"bentmet","TRICNIND",NA,"Number of Trichoptera individuals in sample"
"bentmet","TRICNTAX",NA,"No. of Trichoptera taxa"
"bentmet","TRICPIND",NA,"% Trichoptera individuals"
"bentmet","TRICPTAX",NA,"% Trichoptera taxa"
"bentmet","TUBINAIDNIND",NA,"Number of Tubificidae and Naididae individuals in sample"
"bentmet","TUBINAIDNTAX",NA,"No. of Tubificidae and Naididae taxa"
"bentmet","TUBINAIDPIND",NA,"% Tubificidae and Naididae individuals"
"bentmet","TUBINAIDPTAX",NA,"% Tubificidae and Naididae taxa"
"bentmet","WTD_TV",NA,"Hilsenhoff Biotic Index (HBI), sum of TV_i*prop_i, where TV_i=tolerance value for species i and prop_i=proportion of taxon i in sample, based on all taxa in sample"
"bentmet","AGGR_ECO3_2015",NA,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"bentmet","AGGR_ECO9_2015",NA,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"bentmet","DATE_COL",NA,"Date of sample collection"
"bentmet","SITE_ID",NA,"Identification code for site"
"bentmet","VISIT_NO",NA,"Sequential number of visit to site"
"bentmet","UID",NA,"Unique identifier for sampling event"
"bentmet","ECO_BIO",NA,"Bioregions"
"bentmet","YEAR",NA,"Year"
"benttaxa","CLASS",NA,"Class of taxon"
"benttaxa","FAMILY",NA,"Family of taxon"
"benttaxa","FFG",NA,"Functional feeding group; codes separated by commas if more than one"
"benttaxa","GENUS",NA,"Genus of taxon"
"benttaxa","HABIT",NA,"Habit designation for macroinvertebrates"
"benttaxa","NON_TARGET",NA,"Macroinvertebrate designation for non-target taxon"
"benttaxa","ORDER",NA,"Order of taxon"
"benttaxa","PHYLUM",NA,"Phylum of taxon"
"benttaxa","PTV",NA,"Pollution tolerance value for macroinvertebrate taxon"
"benttaxa","SPECIES",NA,"Species of taxon"
"benttaxa","SUBCLASS",NA,"Subclass of taxon"
"benttaxa","SUBFAMILY",NA,"Subfamily of taxon"
"benttaxa","SUBORDER",NA,"Suborder of taxon"
"benttaxa","TARGET_TAXON",NA,"Name of taxon at target taxon level"
"benttaxa","TRIBE",NA,"Tribe of taxon"
"benttaxa","PUBLICATION_DATE",NA,"Publication Date"
"benttaxa","TAXA_ID",NA,"Taxa identification number"
"benttaxa","ASSEMBLAGE_NAME",NA,"Assemblage of taxon"
"chla","CHLL_DATE_ANALYZED",NA,"Date of sample analysis for Littoral chlorophyll a"
"chla","CHLL_DATE_FILTERED",NA,"Date sample filtered for Littoral chlorophyll a"
"chla","CHLL_SAMPLEVOL","mL","Volume of sample from field for Littoral chlorophyll a"
"chla","CHLL_VOLUME_ADJUST","mL","Sample volume adjustment (for calculation) for Littoral chlorophyll a"
"chla","CHLL_LAB_COMMENT",NA,"Laboratory comment for Littoral chlorophyll a"
"chla","CHLL_DILUTION_FACTOR",NA,"Dilution factor used in chlorophyll calculation for Littoral chlorophyll a"
"chla","CHLL_EXTRACT","ug/L","Chlorophyll a in laboratory extract (raw) for Littoral chlorophyll a"
"chla","CHLL_HOLDING_TIME","days","Sample holding time for Littoral chlorophyll a"
"chla","CHLL_LAB_FLAG",NA,"Flag from laboratory for Littoral chlorophyll a"
"chla","CHLL_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Littoral chlorophyll a"
"chla","CHLL_MDL","ug/L","Minimum detection limit of analyte for Littoral chlorophyll a"
"chla","CHLL_QA_FLAG",NA,"QA flag associated with sample for Littoral chlorophyll a"
"chla","CHLL_RESULT","ug/L","Analyte value for Littoral chlorophyll a"
"chla","CHLL_RL","ug/L","Reporting limit for Littoral chlorophyll a"
"chla","CHLL_UNITS",NA,"Units for Littoral chlorophyll a"
"chla","CHLL_BATCH_ID",NA,"Batch ID from lab for Littoral chlorophyll a"
"chla","CHLX_DATE_ANALYZED",NA,"Date of sample analysis for X-site chlorophyll a"
"chla","CHLX_DATE_FILTERED",NA,"Date sample filtered for X-site chlorophyll a"
"chla","CHLX_DILUTION_FACTOR",NA,"Dilution factor used in chlorophyll calculation for X-site chlorophyll a"
"chla","CHLX_EXTRACT","ug/L","Chlorophyll a in laboratory extract (raw) for X-site chlorophyll a"
"chla","CHLX_HOLDING_TIME","days","Sample holding time for X-site chlorophyll a"
"chla","CHLX_LAB_FLAG",NA,"Flag from laboratory for X-site chlorophyll a"
"chla","CHLX_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for X-site chlorophyll a"
"chla","CHLX_MDL","ug/L","Minimum detection limit of analyte for X-site chlorophyll a"
"chla","CHLX_QA_FLAG",NA,"QA flag associated with sample for X-site chlorophyll a"
"chla","CHLX_RESULT","ug/L","Analyte value for X-site chlorophyll a"
"chla","CHLX_RL","ug/L","Reporting limit for X-site chlorophyll a"
"chla","CHLX_SAMPLEVOL","mL","Volume of sample from field for X-site chlorophyll a"
"chla","CHLX_VOLUME_ADJUST","mL","Sample volume adjustment (for calculation) for X-site chlorophyll a"
"chla","CHLX_UNITS",NA,"Units for X-site chlorophyll a"
"chla","CHLX_BATCH_ID",NA,"Batch ID from lab for X-site chlorophyll a"
"chla","CHLX_LAB_COMMENT",NA,"Laboratory comment for X-site chlorophyll a"
"chla","UID",NA,"Unique identifier for sampling event"
"chla","LAB",NA,"Lab name"
"condition","ACID_CLS",NA,"Acidity condition class"
"condition","AGGR_ECO3_2015",NA,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"condition","AGGR_ECO9_2015",NA,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"condition","ATZ_DETECT",NA,"Atrazine detection class"
"condition","ATZ_LOC04",NA,"Atrazine condition class based on the 2012 EPA Level of Concern"
"condition","ATZ_LOC10",NA,"Atrazine condition class based on the former EPA Level of Concern"
"condition","BENT_COND",NA,"Benthic macroinvertebrate MMI condition class"
"condition","CHLA_COND",NA,"Condition for Chlorophyll a indicator, based on CHLX"
"condition","CHLL_REC",NA,"WHO chlorophyll-a concentration recreational risk condition class for littoral site"
"condition","CHLX_REC",NA,"WHO chlorophyll-a concentration recreational risk condition class for index site"
"condition","CYNL_REC",NA,"WHO cyanobacteria cell density recreational risk condition classes for littoral site"
"condition","CYNX_REC",NA,"WHO cyanobacteria cell density recreational risk condition classes for index site"
"condition","DESIGN_YR",NA,"Design year of site"
"condition","DIS_O2_CLS",NA,"Dissolved oxygen condition class"
"condition","DRAWDOWN_COND",NA,"Lake level drawdown exposure condition"
"condition","EPA_REG",NA,"EPA Region"
"condition","FS_EW",NA,"Eastern or western US Forest Service land"
"condition","INDEX_NLA",NA,"Index visit for lake (used in population estimates).  For sites visited, VISIT_NO=1 is designated as the index visit (even if no samples were collected).  Blank= not assigned (sites not evaluated or not needed). Y=Index visit, N=Not index visit"
"condition","LAKE_ORIGIN",NA,"Lake origin based on codes used in NLA 2007:MAN-MADE=includes LAKE-ORIGIN12= MAN_MADE, MAN_MADE_AB, and RESERVOIR; NATURAL=includes LAKE_ORIGIN12=NATURAL and NATURAL_ENH; UNCERTAIN= Includes LAKE_ORIGIN12=UNCERTAIN"
"condition","LAKE_ORIGIN12",NA,"Lake origin as determined during the 2012 site evaluation process, or from the sampling visit: MAN_MADE=Impoundment created by humans with current use for purpose of water storage, wildlife/fishing, and recreation.  Not used for active irrigation or power generation.  Includes lakes that were historically used for other purposes (e.g. mining pit pond, mill pond) but currently not a ‘working” impoundment; MAN_MADE_AB=Lakes have been abandoned from their man-made function for many decades (or a century).  These are still called  man-made but function 'naturally'; NATURAL=Naturally occurring impoundment; NATURAL_ENH=Lake was originally a natural open water shallow lake that has been ‘enhanced’ with flow diversions to form larger/deeper lake to support recreational uses; RESERVOIR=Man-made impoundment for hydropower, flood control, and/or active irrigation storage; UNCERTAIN=Origin could not be determined from either site evaluation or sampling visit"
"condition","LAT_DD83",NA,"Latitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always, represents centriod of lake polygon in NHD."
"condition","LITCVR_COND",NA,"Shallow water habitat condition class"
"condition","LITRIPCVR_COND",NA,"Lake habitat complexity condition class"
"condition","LON_DD83",NA,"Longitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always represents centriod of lake polygon in NHD."
"condition","MAJ_BASIN",NA,"Major USGS Hydrologic Basins derived from NHDPlus"
"condition","MICL_REC",NA,"WHO microcystin recreational risk condition class for littoral site"
"condition","MICX_DETECT",NA,"Microcystin detection for index site"
"condition","MICX_REC",NA,"WHO microcystin recreational risk condition class for index site"
"condition","MISS_BASIN",NA,"Within Mississippi basin, yes or no"
"condition","NTL_COND",NA,"Condition class based on total nitrogen"
"condition","OWN_TYPE",NA,"Federal Agency land ownership category based on most current spatial land records from federal agencies"
"condition","PTL_COND",NA,"Condition class based on total phosphorus"
"condition","RDIS_COND",NA,"Lakeshore disturbance condition class"
"condition","RVEG_COND",NA,"Riparian vegetation condition class"
"condition","SEDHG_MTH_TOP_COND",NA,"Sediment methylmercury condition class for top sediment sample"
"condition","SEDHG_TOT_BTM_COND",NA,"Sediment total mercury condition class for bottom sediment sample"
"condition","SEDHG_TOT_TOP_COND",NA,"Sediment total mercury condition class for top sediment sample"
"condition","SITE_ID",NA,"Identification code for site"
"condition","SIZE_CLASS",NA,"Lake area class"
"condition","STATUS",NA,"Site status based on EVALSTAT and codes used for 2007 NLA, for use in national-scale population estimates: Target_Sampled=TargetSampled; Target_Denied=AccessDenied; Target_Inacc=Inaccessible-Barrier/Safety or Inaccessible-Effort; Target_Other=TargetOther.  Target lakes that wer not sampled.; Lake_LT_1 ha=Nontarget-TooSmall; Lake_Saline=Coastal_Saline; Lake_Shallow=Nontarget-TooShallow; Lake_Vegetated=Nontarget-Vegetated; Lake-Special_Purpose=Nontarget-NoRecAquatUse; Non_Target=Nontarget-Ephemeral or Nontarget-Other; Unknown=Lake was not evaluated or visited.  Generally applicable to additional State-specific sites that can be included in the national assessment."
"condition","TNT",NA,"NLA target status assigned based on lake evaluation for use in national assessments. Target_Presumed= Assigned to lakes evaluated as target but were not sampled (e.g., access denials or physically inaccessible). Uncertain-Final target status cannot be determined because open water and depth criteria could not be evaluated. NotNeeded=Not needed for national level assessments (includes sites selected as part of individual state-level designs. Blank=represent errors or changes in design file, such as lakes selected &gt; 1 time or lakes whose polygons have been combined with other lakes."
"condition","TROPHIC_STATE",NA,"Trophic state (Oligotrophic/Mesotrophic/Eutrophic/Hypereutrophic)"
"condition","TROPHIC_STATE",NA,"Trophic state (Oligotrophic/Mesotrophic/Eutrophic/Hypereutrophic)"
"condition","TURB_COND",NA,"Condition of site based on turbidity"
"condition","UID",NA,"Unique identifier for sampling event"
"condition","VISIT_NO",NA,"Sequential number of visit to site"
"condition","WGT_ALL",NA,"Adjusted weight for site. To be used for NLA national population estimation"
"condition","WSA3_LO",NA,"AGGR_ECO3_2015 region and lake origin combination"
"condition","WSA9_LO",NA,"AGGR_ECO9_2015 region and lake origin combination"
"condition","XCOORD",NA,"x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection"
"condition","YCOORD",NA,"y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection"
"condition","ZOOP_COND",NA,"Zooplankton MMI condition class"
"phytotaxa","ALGAL_GROUP",NA,"Broad algal group, used in metric calculation"
"phytotaxa","CLASS",NA,"Class of taxon"
"phytotaxa","FAMILY",NA,"Family of taxon"
"phytotaxa","GENUS",NA,"Genus of taxon"
"phytotaxa","ORDER",NA,"Order of taxon"
"phytotaxa","PHYLUM",NA,"Phylum of taxon"
"phytotaxa","SPECIES",NA,"Species of taxon"
