PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,STATE,SAMPLE_TYPE,FORM_TYPE,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_SCORE,AGR_STRING,AGR_WITHDRAWAL,APPEALING,BIOTIC_INTEGRITY,FLAG_ASSESS,FLIGHT_HAZARDS,HYDRO_TYPE,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,IND_SCORE,IND_STRING,LAKE_LEVEL,LEVEL_CHANGE_M,LEVEL_CHANGES,MACRY_DENSITY,MACRY_FLOAT,MACRY_SUBMERGED,MAN_ANGLING,MAN_DRINKING_WATER,MAN_FISH_STOCKING,MAN_LEVEL_FLUCTUATIONS,MAN_LIMING,MAN_MACROPHYTE,MAN_SCORE,MAN_STRING,MAN_TREATMENT,MBOAT_DENSITY,OUTLET_DAMS,PHOTOGRAPHS,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_SCORE,REC_STRING,REC_TRAILS,REC_TRASH,RECREATIONAL_ACTIVITY,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SCORE,RES_SEWAGE,RES_STRING,REVIEWED_BY_INITIAL,STUDYNAME,SWIMMABILITY,TROPHIC_STATE
8/23/2016,1000020,NLA12_VT-102,26-Jun-12,1,VT,ASSESS,eForms,L,,,,,,1,L,,,GOOD,,,DRAINAGE,,,,,,,,,0,,ZERO,,,SPARSE,0-05,25-75,L,,M,,,,4,LM,,LOW,NATURAL,,3,0-05,0-05,25-75,25-75,25-May,25-May,25-May,25-75,,,,,,0,,,,,EXCELLENT,,L,,M,,M,L,8,,LMML,KCM,NLA,GOOD,EUTROPHIC
8/23/2016,1000021,NLA12_OR-101,26-Jun-12,1,OR,ASSESS,eForms,,,H,,,,5,H,,4,GOOD,,,DRAINAGE,,,,,,,,,0,,ZERO,,,MODERATE,0-05,25-May,,,,,,,0,,,LOW,NONE,,4,0-05,25-75,0-05,0-05,25-75,0-05,25-75,25-May,,,L,L,,3,LLL,L,,,GOOD,,,,,,,L,1,,L,LAM,NLA,FAIR,EUTROPHIC
8/23/2016,1000022,NLA12_TX-135,26-Jun-12,1,TX,ASSESS,eForms,,,M,,M,,6,MM,,2,POOR,,,RESERVOIR,,,,,,,,,0,,ELEVATION CHANGE,0.2,0.2,ABSENT,0-05,,,,,,,,0,,,BANNED,NONE,,1,0-05,25-75,,,25-May,0-05,0-05,0-05,,,,,,0,,,,,POOR,,,,,L,,L,2,,LL,JPS,NLA,UNSWIMMABLE,EUTROPHIC
8/23/2016,1000023,NLA12_WI-101,26-Jun-12,1,WI,ASSESS,eForms,,,,,,,0,,,3,GOOD,,,DRAINAGE,,,,,,,,,0,,ELEVATION CHANGE,0.2,0.2,SPARSE,0-05,25-May,H,,,,,L,6,HL,,HIGH,ARTIFICIAL,,2,0-05,0-05,75-100,25-75,0-05,75-100,25-May,0-05,M,L,M,H,,16,MLMHML,M,L,,EXCELLENT,,,,H,L,H,M,14,,HLHM,CC,NLA,GOOD,EUTROPHIC
8/23/2016,1000024,,,,,ASSESS,MISS,,,,,,,,MISSING,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,MISSING,,,,
8/23/2016,1000025,NLA12_ID-151,27-Jun-12,1,ID,ASSESS,eForms,,,L,,,,1,L,,2,EXCELLENT,,,RESERVOIR,,,,,,M,,,3,M,,,,MODERATE,25-May,25-75,L,,,,,,1,L,,LOW,ARTIFICIAL,,4,0-05,25-May,0-05,0-05,25-75,0-05,25-75,0-05,L,,,L,,2,LL,,,,FAIR,,,,,,,,0,,,CF,NLA,FAIR,MESOTROPHIC
8/23/2016,1000026,NLA12_TX-110,28-Jun-12,1,TX,ASSESS,eForms,,,,,,,0,,,3,FAIR,,,RESERVOIR,L,,,,,,,,1,L,ELEVATION CHANGE,0.5,0.5,SPARSE,0-05,25-May,L,,L,,,,2,LL,,HIGH,NONE,,2,0-05,0-05,25-May,25-May,25-May,25-May,,25-May,,L,L,,,3,LLL,,L,,EXCELLENT,L,L,,M,L,M,L,11,L,LLMLMLL,JPS,NLA,FAIR,EUTROPHIC
8/23/2016,1000027,,,,,ASSESS,MISS,,,,,,,,MISSING,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,MISSING,,,,
8/23/2016,1000028,NLA12_WI-102,27-Jun-12,1,WI,ASSESS,eForms,,,,,,,0,,,5,GOOD,,,DRAINAGE,,,,,,,,,0,,ELEVATION CHANGE,,,MODERATE,0-05,25-May,H,,,,,,5,H,,HIGH,ARTIFICIAL,,2,0-05,0-05,75-100,0-05,75-100,75-100,25-75,0-05,,,,,L,2,LL,,L,,EXCELLENT,,,,H,,H,H,15,,HHH,CC,NLA,GOOD,MESOTROPHIC
8/23/2016,1000029,NLA12_ID-109,27-Jun-12,1,ID,ASSESS,eForms,,,,,,,0,,,3,GOOD,,,RESERVOIR,,,,,,,,L,1,L,,,,ABSENT,0-05,0-05,L,,,,,,1,L,,LOW,ARTIFICIAL,,3,0-05,0-05,0-05,0-05,25-May,0-05,25-75,0-05,,,L,L,,4,LLLL,L,L,,GOOD,L,,,L,L,,L,4,,LLLL,CW,NLA,FAIR,MESOTROPHIC
8/23/2016,1000030,NLA12_ID-111,28-Jun-12,1,ID,ASSESS,eForms,,,,,,,0,,,2,GOOD,,,RESERVOIR,,,,,L,L,,,2,LL,YES,0.9,0.9,SPARSE,0-05,25-May,L,,,L,,,2,LL,,LOW,ARTIFICIAL,,2,0-05,25-75,0-05,0-05,0-05,0-05,25-75,0-05,L,,L,L,,4,LLLL,,L,,GOOD,,L,,,,L,L,3,,LLL,CW,NLA,FAIR,MESOTROPHIC
8/23/2016,1000031,,,,,ASSESS,MISS,,,,,,,,MISSING,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,MISSING,,,,
8/23/2016,1000032,NLA12_VT-106,2-Jul-12,1,VT,ASSESS,eForms,,,,,,,0,,,5,EXCELLENT,,,DRAINAGE,,,,L,,,,,1,L,ZERO,,,MODERATE,25-May,25-75,,,,,,,0,,,LOW,NONE,,4,0-05,0-05,0-05,25-May,0-05,0-05,25-May,75-100,,,,,,0,,,,,GOOD,,,,L,,L,L,3,,LLL,,NLA,FAIR,MESOTROPHIC
8/23/2016,1000034,NLA12_WI-152,2-Jul-12,1,WI,ASSESS,eForms,,,,,,,0,,,,FAIR,,,DRAINAGE,,,,,,,,,0,,ELEVATION CHANGE,0.2,0.2,,,,M,,M,,,L,7,MML,,HIGH,NONE,,,0-05,0-05,75-100,25-75,75-100,75-100,25-May,0-05,L,M,,,L,8,LMLM,,M,,GOOD,M,,,H,,H,M,16,,MHHM,CC,NLA,FAIR,EUTROPHIC
8/23/2016,1000035,,,,,ASSESS,eForms,,,,,,,0,,,4,,,,RESERVOIR,,,,,,,,,0,,ELEVATION CHANGE,,,MODERATE,0-05,25-May,,,,,,,0,,,LOW,ARTIFICIAL,,4,0-05,0-05,0-05,75-100,25-May,0-05,25-May,25-May,,,,,,0,,,,,,,,,,,,,0,,,JD,NLA,FAIR,
8/23/2016,1000039,NLA12_WI-113,5-Jul-12,1,WI,ASSESS,eForms,L,,,,L,,2,LL,,5,EXCELLENT,,,SEEPAGE,,,,,,,,,0,,ZERO,,,HIGH,25-May,25-75,L,,,,,,1,L,,LOW,,,4,25-May,0-05,0-05,25-May,25-May,0-05,25-75,25-75,,,,,,1,L,,L,,EXCELLENT,,,,L,,L,,2,,LL,PG,NLA,GOOD,MESOTROPHIC
8/23/2016,1000043,NLA12_MI-151,9-Jul-12,1,MI,ASSESS,eForms,,,,,,,0,,,2,FAIR,,,DRAINAGE,M,,,,,,,,3,M,ZERO,,,MODERATE,0-05,25-75,L,,,,,,1,L,,RESTRICTED,NONE,,3,0-05,0-05,75-100,25-75,25-75,0-05,25-May,0-05,L,,H,,,12,LHHL,H,L,,FAIR,L,,,H,M,H,H,19,,LHMHH,RB,NLA,GOOD,EUTROPHIC
8/23/2016,1000044,NLA12_WI-117,10-Jul-12,1,WI,ASSESS,eForms,,,,,,,0,,,5,EXCELLENT,,,SEEPAGE,,,,,,,,,0,,ELEVATION CHANGE,0.8,0.8,MODERATE,25-May,75-100,L,,,L,,,2,LL,,LOW,,,4,,0-05,25-75,75-100,0-05,25-May,25-75,,,,,,,0,,,,,,,,,L,,M,,4,,LM,PG,NLA,GOOD,MESOTROPHIC
8/23/2016,1000045,,,,,ASSESS,eForms,,,,,,,0,,,5,GOOD,,,RESERVOIR,,,,,,,,,0,,ELEVATION CHANGE,,,MODERATE,0-05,75-100,,,,L,,,1,L,,LOW,ARTIFICIAL,,4,0-05,0-05,25-May,25-75,25-75,25-75,25-May,0-05,,,,,,0,,,,,GOOD,L,,,M,,L,L,6,,LMLL,JD,NLA,GOOD,
8/23/2016,1000046,NLA12_MI-139,10-Jul-12,1,MI,ASSESS,eForms,H,,,,,,5,H,,4,GOOD,,,DRAINAGE,,,,,,,,,0,,,,,MODERATE,25-May,25-May,,,,,,,0,,,BANNED,,,4,0-05,0-05,0-05,0-05,75-100,0-05,25-May,0-05,,,,,,0,,,,,GOOD,,,,L,,L,L,3,,LLL,RB,NLA,GOOD,MESOTROPHIC
8/23/2016,1000047,NLA12_MI-124,10-Jul-12,1,MI,ASSESS,eForms,,,,,,,0,,,3,GOOD,,,DRAINAGE,,,,,,,,,0,,ZERO,,,MODERATE,25-May,75-100,,,,,,,0,,,LOW,NONE,,4,0-05,0-05,25-75,25-75,25-75,25-May,25-75,25-May,,,,,,0,,,,,GOOD,,L,,M,,M,L,8,,LMML,MM,NLA,FAIR,EUTROPHIC
8/23/2016,1000048,NLA12_TX-117,10-Jul-12,2,TX,ASSESS,eForms,,,M,,M,,6,MM,,2,FAIR,,,RESERVOIR,,,,,,,,,0,,ZERO,,,SPARSE,25-May,25-May,,,,,,,0,,,BANNED,ARTIFICIAL,,2,25-75,25-May,0-05,0-05,0-05,0-05,0-05,25-75,,,,,,1,L,,L,,POOR,L,,,,L,,L,3,,LLL,JPS,NLA,UNSWIMMABLE,EUTROPHIC
8/23/2016,1000049,NLA12_OR-106,10-Jul-12,1,OR,ASSESS,eForms,,,,,,,0,,,5,EXCELLENT,,YES,RESERVOIR,,,,M,,,,,3,M,ZERO,,,SPARSE,0-05,25-May,L,,,,,,1,L,,LOW,ARTIFICIAL,,4,0-05,0-05,0-05,75-100,25-May,0-05,25-May,0-05,,,,L,,3,LLL,L,L,,EXCELLENT,,,,,,,L,1,,L,LAM,NLA,GOOD,OLIGOTROPHIC
8/23/2016,1000050,NLA12_WI-136,11-Jul-12,1,WI,ASSESS,eForms,,,,,,,0,,,3,GOOD,,,DRAINAGE,,,,,,,,,0,,ZERO,,,MODERATE,25-75,25-May,,,,,,,0,,,RESTRICTED,NONE,,4,25-May,,25-May,0-05,25-May,25-May,25-May,25-75,,,,,,1,L,,L,,GOOD,,,,L,,M,,4,,LM,CC,NLA,UNSWIMMABLE,EUTROPHIC
8/23/2016,1000051,,,,,ASSESS,MISS,,,,,,,,MISSING,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,,,,,,,MISSING,,,,,,,,,,,,,,MISSING,,,,
8/23/2016,1000052,NLA12_MI-109,11-Jul-12,1,MI,ASSESS,eForms,M,,,,L,,4,ML,,2,FAIR,,,RESERVOIR,,,,,,,,,0,,,,,HIGH,,25-May,L,,,,,,1,L,,LOW,ARTIFICIAL,,2,0-05,0-05,25-75,25-75,25-75,25-75,25-75,25-May,L,,M,,,5,LML,L,,,FAIR,L,,,M,,M,M,11,L,LMMML,RB,NLA,FAIR,HYPEREUTROPHIC
8/23/2016,1000053,NLA12_TX-109,11-Jul-12,1,TX,ASSESS,eForms,,,,,,,0,,,3,FAIR,,,RESERVOIR,,,,,,,,,0,,ZERO,,,HIGH,0-05,25-75,L,,,,,M,4,LM,,RESTRICTED,ARTIFICIAL,,2,,0-05,0-05,25-75,25-75,25-May,25-May,25-May,,,L,,,1,L,,,,GOOD,L,,,L,L,L,L,6,L,LLLLLL,JPS,NLA,FAIR,EUTROPHIC
8/23/2016,1000054,NLA12_VT-109,12-Jul-12,1,VT,ASSESS,eForms,,,,,,,0,,,4,EXCELLENT,,,SEEPAGE,,,,,,,,,0,,ZERO,3.5,3.5,HIGH,25-75,25-75,,,,,,,0,,,RESTRICTED,ARTIFICIAL,,4,,,25-May,25-75,25-May,0-05,0-05,25-75,,,,,,0,,,,,GOOD,,,,L,,L,L,3,,LLL,KCM,NLA,GOOD,MESOTROPHIC
8/23/2016,1000055,NLA12_MI-136,12-Jul-12,1,MI,ASSESS,eForms,M,,,,,,3,M,,4,GOOD,,,SEEPAGE,,,,,,,,,0,,ZERO,,,MODERATE,0-05,25-75,,,L,,,,1,L,,LOW,NONE,,4,25-75,0-05,25-75,25-May,25-75,25-75,25-75,25-75,,,,,,0,,,,,GOOD,,,,M,,M,L,7,,MML,MM,NLA,GOOD,EUTROPHIC
8/23/2016,1000056,NLA12_MI-105,11-Jul-12,1,MI,ASSESS,eForms,,,,,,,1,L,L,3,GOOD,,YES,DRAINAGE,M,,M,,,,,M,9,MMM,ZERO,,,MODERATE,25-May,25-75,H,,H,,,,10,HH,,HIGH,NONE,,2,0-05,25-May,75-100,0-05,25-May,25-75,25-May,25-May,L,M,L,L,,10,LMLLLM,L,M,,GOOD,L,,,L,L,M,L,7,,LLLML,MM,NLA,FAIR,MESOTROPHIC
8/23/2016,1000057,NLA12_CA-R09,12-Jul-12,1,CA,ASSESS,eForms,,,,,,,0,,,4,GOOD,,,DRAINAGE,,,,,,,,,0,,ZERO,,,MODERATE,25-May,25-75,H,,H,,,,10,HH,,BANNED,NONE,,4,,25-May,0-05,25-75,25-May,0-05,25-May,0-05,,,L,,,5,LML,M,L,,EXCELLENT,,,,L,,L,L,3,,LLL,DB,NLA,FAIR,MESOTROPHIC
8/23/2016,1000058,NLA12_MI-167,12-Jul-12,1,MI,ASSESS,eForms,M,,,,L,,4,ML,,2,POOR,,,DRAINAGE,,,,,,,,,0,,,,,HIGH,25-75,75-100,,,,,,,0,,,RESTRICTED,NONE,,4,0-05,0-05,0-05,25-75,0-05,0-05,25-May,25-May,,,,,,0,,,,,POOR,,,,,,L,L,2,,LL,RB,NLA,UNSWIMMABLE,EUTROPHIC
8/23/2016,1000059,NLA12_WI-168,13-Jul-12,1,WI,ASSESS,eForms,,,,,,,0,,,4,GOOD,,,DRAINAGE,,,,,,,,,0,,ZERO,,,MODERATE,25-May,25-75,,,,,,,0,,,HIGH,NONE,,1,,,75-100,25-May,25-75,75-100,,25-May,,,L,,L,3,LLL,,L,,EXCELLENT,,,,H,,H,L,11,,HHL,CC,NLA,GOOD,EUTROPHIC
8/23/2016,1000060,NLA12_TX-124,13-Jul-12,1,TX,ASSESS,ASSESSMENT,,,M,,M,,6,MM,,4,GOOD,,,RESERVOIR,,,,,,,,,0,,,,,SPARSE,,25-May,M,,,M,,,6,MM,,HIGH,ARTIFICIAL,,3,,0-05,25-May,0-05,25-75,25-75,25-75,25-May,L,,,,,4,LM,,M,EXCELLENT,,M,,,L,M,M,,10,,MLMM,,,GOOD,MESOTROPHIC
8/23/2016,1000062,NLA12_TX-148,15-Jul-12,1,TX,ASSESS,eForms,,,L,,L,,2,LL,,3,FAIR,,,RESERVOIR,,,,,,,,,0,,ELEVATION CHANGE,0.3,0.3,SPARSE,25-75,0-05,L,,,L,,,2,LL,,RESTRICTED,ARTIFICIAL,,2,,25-May,,,25-May,0-05,25-May,25-75,,,,,,0,,,,,FAIR,,,,,,,,0,,,JPS,NLA,FAIR,EUTROPHIC
8/23/2016,1000063,NLA12_WI-172,14-Jul-12,1,WI,ASSESS,eForms,,,,,,,0,,,3,FAIR,,,RESERVOIR,L,,L,,,,,,2,LL,ELEVATION CHANGE,0.3,0.3,HIGH,25-75,75-100,L,,,L,,,2,LL,,LOW,ARTIFICIAL,,2,,0-05,25-75,25-May,25-May,25-May,25-75,25-75,H,,,,,6,HL,,L,,GOOD,L,,,M,L,M,M,11,,LMLMM,PG,NLA,UNSWIMMABLE,EUTROPHIC
8/23/2016,1000064,,,,,ASSESS,eForms,,,,,,,1,L,L,5,GOOD,,,SEEPAGE,,,,,,,,,0,,ELEVATION CHANGE,2,2,SPARSE,0-05,0-05,,,,L,,,1,L,,RESTRICTED,NATURAL,,4,0-05,0-05,0-05,25-75,0-05,0-05,25-May,75-100,,,,L,,2,LL,,L,,GOOD,,,L,,,,L,2,,LL,KCM,NLA,FAIR,MESOTROPHIC
8/23/2016,1000066,NLA12_MI-108,16-Jul-12,1,MI,ASSESS,eForms,M,,,,L,,4,ML,,3,FAIR,,,DRAINAGE,,,,,,,,,0,,,,,MODERATE,0-05,25-75,L,,,,,M,4,LM,,HIGH,,,2,0-05,25-May,75-100,0-05,25-75,75-100,0-05,0-05,,,,,,1,L,,L,,GOOD,,L,,M,,H,M,12,,LMHM,RB,NLA,GOOD,MESOTROPHIC
8/23/2016,1000067,NLA12_ID-149,15-Jul-12,1,ID,ASSESS,eForms,,,,,,,0,,,3,GOOD,,,SEEPAGE,,,,,,L,,,1,L,,,,SPARSE,25-May,0-05,,,,,,,0,,,RESTRICTED,NONE,,4,0-05,0-05,0-05,25-May,75-100,0-05,25-May,25-May,,,,,,0,,,,,FAIR,,,,,,,L,1,,L,ZC,NLA,FAIR,MESOTROPHIC
8/23/2016,1000068,NLA12_ID-148,16-Jul-12,1,ID,ASSESS,eForms,,,L,L,L,,4,LLLL,L,4,GOOD,,,SEEPAGE,,,,L,,,,,1,L,,,,SPARSE,0-05,0-05,L,,L,L,,,3,LLL,,LOW,NONE,,4,0-05,25-May,0-05,0-05,25-May,0-05,75-100,0-05,,,L,L,,2,LL,,,,GOOD,,,,L,L,L,L,4,,LLLL,CF,NLA,FAIR,MESOTROPHIC
8/23/2016,1000069,NLA12_ID-103,14-Jul-12,1,ID,ASSESS,eForms,,,,,,,0,,,3,GOOD,,YES,DRAINAGE,L,,,,,,,,1,L,,,,MODERATE,25-May,25-75,M,,,,,,3,M,,LOW,ARTIFICIAL,,3,0-05,0-05,25-75,25-May,25-75,25-May,25-75,25-75,,,L,,,3,LLL,L,L,,GOOD,M,L,,M,,M,M,13,,MLMMM,CF,NLA,GOOD,
8/23/2016,1000070,NLA12_MI-104,17-Jul-12,1,MI,ASSESS,eForms,,,,,,,0,,,4,GOOD,,,SEEPAGE,,,,,,,,,0,,ZERO,,,MODERATE,0-05,25-May,M,,,,,L,4,ML,,HIGH,NONE,,4,0-05,25-May,25-75,25-May,25-75,25-75,25-75,25-May,L,,,,,2,LL,,L,,EXCELLENT,L,,,M,L,H,M,13,,LMLHM,MM,NLA,GOOD,MESOTROPHIC
8/23/2016,1000071,NLA12_VT-104,17-Jul-12,1,VT,ASSESS,eForms,,,,,,,0,,,5,GOOD,,,DRAINAGE,,,,,,,,,0,,ELEVATION CHANGE,1,1,SPARSE,0-05,0-05,,,L,L,,,2,LL,,BANNED,ARTIFICIAL,,4,,0-05,,75-100,0-05,,0-05,0-05,,,L,L,,3,LLL,L,,,EXCELLENT,,,,,,,,0,,,KCM,NLA,GOOD,OLIGOTROPHIC
8/23/2016,1000072,NLA12_MI-120,17-Jul-12,1,MI,ASSESS,eForms,,,,,,,0,,,3,POOR,,,DRAINAGE,,,,,,,,,0,,,,,MODERATE,25-75,25-May,,,,,,,0,,,RESTRICTED,,,3,0-05,0-05,0-05,25-75,0-05,0-05,25-75,25-May,,,,,,1,L,,L,,POOR,,,,L,,L,L,3,,LLL,RB,NLA,FAIR,HYPEREUTROPHIC
8/23/2016,1000073,NLA12_TX-103,17-Jul-12,1,TX,ASSESS,eForms,,,,,L,,1,L,,4,POOR,,,RESERVOIR,,,,,,,,,0,,ELEVATION CHANGE,10,10,SPARSE,,0-05,L,L,,H,,,7,LLH,,LOW,ARTIFICIAL,,2,,25-May,0-05,,,0-05,25-75,25-May,,,L,L,,4,LLLL,L,L,,FAIR,L,,,L,L,L,,4,,LLLL,JPS,NLA,FAIR,MESOTROPHIC
8/23/2016,1000074,,,,,ASSESS,eForms,,,,,,,0,,,5,,,,DRAINAGE,,,,,,,,,0,,ELEVATION CHANGE,0.3,0.3,HIGH,0-05,25-75,,,,,,,0,,,BANNED,ARTIFICIAL,,4,0-05,0-05,0-05,75-100,0-05,0-05,25-May,0-05,,,,,,0,,,,,,,,,L,,L,,2,,LL,JD,NLA,FAIR,
