"UID","SITE_ID","YEAR","VISIT_NO","DATE_COL","ECO_BIO","AGGR_ECO3_2015","AGGR_ECO9_2015","BENT_COND","MMI_BENT_NLA12","COMP_PT","DIVS_PT","FEED_PT","HABT_PT","RICH_PT","TOLR_PT","TOTLNIND","PUBLICATION_DATE"
2007501,"NLA06608-0021",2007,2,"8/30/2007","EHIGH","EHIGH","NAP","Fair",46.5,4.71,10,2.11,4.44,4.17,2.5,300,"8/23/2016"
2007502,"NLA06608-0023",2007,1,"8/9/2007","PLAINS","PLNLOW","SPL","Good",50,4.04,3.97,8.24,6.43,7,0.34,300,"8/23/2016"
2007503,"NLA06608-0023",2007,2,"9/19/2007","PLAINS","PLNLOW","SPL","Good",62.4,5.51,3.36,8.82,8.81,7,3.9,300,"8/23/2016"
2007506,"NLA06608-0025",2007,1,"6/18/2007","EHIGH","EHIGH","SAP","Poor",24.5,3.45,1.57,3.68,2.22,2.5,1.25,300,"8/23/2016"
2007507,"NLA06608-0025",2007,2,"7/18/2007","EHIGH","EHIGH","SAP","Poor",35.8,5,0.06,4.21,5.56,4.17,2.5,300,"8/23/2016"
2007508,"NLA06608-0029",2007,1,"7/2/2007","CPL","PLNLOW","CPL","Fair",47.1,4.89,5.39,4.71,8,2.86,2.41,300,"8/23/2016"
2007509,"NLA06608-0029",2007,2,"9/11/2007","CPL","PLNLOW","CPL","Fair",48.5,5.65,7.2,4.12,8,2.86,1.27,300,"8/23/2016"
2007510,"NLA06608-0031",2007,1,"6/13/2007","EHIGH","EHIGH","SAP","Fair",47,3.93,8.82,6.84,4.44,1.67,2.5,246,"8/23/2016"
2007512,"NLA06608-0033",2007,1,"7/17/2007","WMTNS","WMTNS","WMT","Good",65.1,7.75,9.44,6,8.57,5.71,1.61,300,"8/23/2016"
2007513,"NLA06608-0033",2007,2,"8/28/2007","WMTNS","WMTNS","WMT","Good",65.1,8.81,9.16,8,5.71,4.29,3.11,300,"8/23/2016"
2007514,"NLA06608-0036",2007,1,"7/12/2007","EHIGH","EHIGH","SAP","Not Assessed",NA,NA,NA,NA,NA,NA,NA,3,"8/23/2016"
2007515,"NLA06608-0036",2007,2,"7/16/2007","EHIGH","EHIGH","SAP","Poor",9.8,3.93,0.3,0,0,1.67,0,107,"8/23/2016"
2007516,"NLA06608-0037",2007,1,"7/13/2007","EHIGH","EHIGH","NAP","Good",50.8,1.68,9.24,5.26,5.56,5,3.75,300,"8/23/2016"
2007517,"NLA06608-0037",2007,2,"9/5/2007","EHIGH","EHIGH","NAP","Good",54.9,1.78,8.57,5.79,5.56,5,6.25,300,"8/23/2016"
2007518,"NLA06608-0038",2007,1,"7/12/2007","EHIGH","EHIGH","NAP","Good",73.9,5.42,8.72,8.42,8.89,4.17,8.75,300,"8/23/2016"
2007519,"NLA06608-0038",2007,2,"8/27/2007","EHIGH","EHIGH","NAP","Good",78.4,4.76,9.5,10,7.78,5,10,300,"8/23/2016"
2007520,"NLA06608-0041",2007,1,"6/12/2007","EHIGH","EHIGH","SAP","Fair",44.8,3.4,2.52,7.89,8.89,1.67,2.5,300,"8/23/2016"
2007521,"NLA06608-0041",2007,2,"7/11/2007","EHIGH","EHIGH","SAP","Poor",27.2,4.04,0.98,1.05,7.78,2.5,0,134,"8/23/2016"
2007522,"NLA06608-0042",2007,1,"6/22/2007","WMTNS","WMTNS","WMT","Poor",36.1,0.81,1.97,8,1.43,4.29,5.18,300,"8/23/2016"
2007523,"NLA06608-0042",2007,2,"7/6/2007","WMTNS","WMTNS","WMT","Fair",49.3,6.64,6.24,8,2.86,1.43,4.44,300,"8/23/2016"
2007524,"NLA06608-0043",2007,1,"7/31/2007","UMW","PLNLOW","UMW","Poor",29.4,1.91,5.38,0,1.82,6.67,1.89,300,"8/23/2016"
2007525,"NLA06608-0043",2007,2,"8/15/2007","UMW","PLNLOW","UMW","Poor",29,2.19,6.31,0,1.82,6.67,0.4,300,"8/23/2016"
2007526,"NLA06608-0044",2007,1,"7/18/2007","PLAINS","PLNLOW","SPL","Poor",28.1,7.06,0,3.53,3.28,3,0,140,"8/23/2016"
2007527,"NLA06608-0044",2007,2,"7/30/2007","PLAINS","PLNLOW","SPL","Poor",27.7,5.61,0,4.12,4.9,2,0,193,"8/23/2016"
2007528,"NLA06608-0045",2007,1,"6/26/2007","EHIGH","EHIGH","SAP","Fair",47.9,4.84,5.68,4.74,5.56,4.17,3.75,300,"8/23/2016"
2007529,"NLA06608-0045",2007,2,"8/2/2007","EHIGH","EHIGH","SAP","Fair",39.9,4.41,7.68,4.74,3.33,2.5,1.25,300,"8/23/2016"
2007530,"NLA06608-0048",2007,1,"8/2/2007","CPL","PLNLOW","CPL","Poor",20,3.7,2.36,0.59,1,0,4.36,155,"8/23/2016"
2007531,"NLA06608-0048",2007,2,"9/18/2007","CPL","PLNLOW","CPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,40,"8/23/2016"
2007532,"NLA06608-0049",2007,1,"8/15/2007","WMTNS","WMTNS","WMT","Good",56,10,5.11,8,1.43,2.86,6.22,300,"8/23/2016"
2007533,"NLA06608-0050",2007,1,"7/2/2007","EHIGH","EHIGH","NAP","Good",61,9.86,6.77,2.63,7.78,3.33,6.25,133,"8/23/2016"
2007534,"NLA06608-0050",2007,2,"8/30/2007","EHIGH","EHIGH","NAP","Good",57.3,7.51,6.43,6.84,4.44,6.67,2.5,300,"8/23/2016"
2007535,"NLA06608-0053",2007,1,"8/23/2007","EHIGH","EHIGH","NAP","Fair",47.7,4.2,6.68,7.89,4.44,4.17,1.25,300,"8/23/2016"
2007536,"NLA06608-0053",2007,2,"9/27/2007","EHIGH","EHIGH","NAP","Fair",38.7,4.17,5.29,4.74,4.44,3.33,1.25,300,"8/23/2016"
2007538,"NLA06608-0057",2007,1,"6/16/2007","EHIGH","EHIGH","SAP","Poor",22.8,4.15,1.65,3.16,2.22,2.5,0,300,"8/23/2016"
2007539,"NLA06608-0057",2007,2,"7/14/2007","EHIGH","EHIGH","SAP","Poor",32,6.14,3.8,5.26,1.11,1.67,1.25,300,"8/23/2016"
2007541,"NLA06608-0061",2007,1,"6/12/2007","WMTNS","WMTNS","XER","Fair",44.7,6.14,5.96,6,2.86,1.43,4.44,279,"8/23/2016"
2007542,"NLA06608-0061",2007,2,"8/22/2007","WMTNS","WMTNS","XER","Fair",49.3,7.95,7.25,8,2.86,1.43,2.12,148,"8/23/2016"
2007543,"NLA06608-0062",2007,1,"8/9/2007","PLAINS","PLNLOW","NPL","Good",48.9,9.23,0,2.94,10,6,1.18,300,"8/23/2016"
2007544,"NLA06608-0062",2007,2,"8/27/2007","PLAINS","PLNLOW","NPL","Fair",34.9,6.64,0,1.76,10,2,0.53,193,"8/23/2016"
2007545,"NLA06608-0064",2007,1,"6/18/2007","PLAINS","PLNLOW","NPL","Fair",34.8,8.72,0,1.18,10,1,0,300,"8/23/2016"
2007546,"NLA06608-0064",2007,2,"8/26/2007","PLAINS","PLNLOW","NPL","Fair",36.7,10,0,0,10,2,0,300,"8/23/2016"
2007547,"NLA06608-0065",2007,1,"7/17/2007","WMTNS","WMTNS","WMT","Good",69.3,4.94,9.49,2,10,7.14,8,300,"8/23/2016"
2007548,"NLA06608-0065",2007,2,"9/12/2007","WMTNS","WMTNS","WMT","Good",64.5,1.32,5.73,8,5.71,8.57,9.33,300,"8/23/2016"
2007549,"NLA06608-0066",2007,1,"6/12/2007","EHIGH","EHIGH","SAP","Poor",27,1.94,4.92,4.74,3.33,0,1.25,300,"8/23/2016"
2007550,"NLA06608-0066",2007,2,"9/18/2007","EHIGH","EHIGH","SAP","Poor",30.8,3,2.84,4.74,3.33,0.83,3.75,300,"8/23/2016"
2007552,"NLA06608-0068",2007,1,"7/9/2007","WMTNS","WMTNS","WMT","Good",58.5,5.36,6.46,6,5.71,5.71,5.83,300,"8/23/2016"
2007553,"NLA06608-0068",2007,2,"9/12/2007","WMTNS","WMTNS","WMT","Poor",32.4,0.99,5.22,4,4.29,0,4.91,219,"8/23/2016"
2007554,"NLA06608-0069",2007,1,"7/18/2007","CPL","PLNLOW","CPL","Fair",45.1,9.06,6.08,1.18,4,5.71,1.03,300,"8/23/2016"
2007555,"NLA06608-0069",2007,2,"9/26/2007","CPL","PLNLOW","CPL","Fair",46.4,7.67,3.63,2.94,2,4.29,7.34,135,"8/23/2016"
2007556,"NLA06608-0071",2007,1,"9/6/2007","CPL","PLNLOW","CPL","Poor",14.4,2.27,1.54,1.18,2,0,1.67,300,"8/23/2016"
2007557,"NLA06608-0071",2007,2,"9/8/2007","CPL","PLNLOW","CPL","Poor",8.3,0.19,2.08,0,0,0,2.7,300,"8/23/2016"
2007558,"NLA06608-0072",2007,1,"7/26/2007","PLAINS","PLNLOW","SPL","Good",43.7,3.79,5.04,10,3.41,4,0,300,"8/23/2016"
2007559,"NLA06608-0072",2007,2,"8/15/2007","PLAINS","PLNLOW","SPL","Good",44.9,3.42,3.31,7.65,9.54,3,0,300,"8/23/2016"
2007560,"NLA06608-0073",2007,1,"6/12/2007","WMTNS","WMTNS","XER","Poor",20,2,0,10,0,0,0,300,"8/23/2016"
2007561,"NLA06608-0073",2007,2,"7/18/2007","WMTNS","WMTNS","XER","Poor",33,9.79,0,10,0,0,0,300,"8/23/2016"
2007562,"NLA06608-0076",2007,1,"7/27/2007","PLAINS","PLNLOW","TPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,55,"8/23/2016"
2007563,"NLA06608-0076",2007,2,"9/4/2007","PLAINS","PLNLOW","TPL","Good",55.8,6.16,3.92,8.82,7.4,7,0.17,300,"8/23/2016"
2007564,"NLA06608-0077",2007,1,"9/8/2007","EHIGH","EHIGH","NAP","Fair",44.9,5.2,9.06,6.32,2.22,4.17,0,300,"8/23/2016"
2007565,"NLA06608-0077",2007,2,"9/13/2007","EHIGH","EHIGH","NAP","Fair",43.8,4.15,7.33,8.42,2.22,4.17,0,300,"8/23/2016"
2007566,"NLA06608-0078",2007,1,"8/8/2007","PLAINS","PLNLOW","TPL","Fair",30.3,2.31,1.99,5.29,1.56,5,2.03,300,"8/23/2016"
2007568,"NLA06608-0079",2007,1,"7/12/2007","WMTNS","WMTNS","WMT","Poor",36.1,0,3.82,10,0,5.71,2.12,300,"8/23/2016"
2007569,"NLA06608-0079",2007,2,"8/16/2007","WMTNS","WMTNS","WMT","Poor",41.9,0.22,1.4,8,4.29,7.14,4.06,300,"8/23/2016"
2007570,"NLA06608-0080",2007,1,"9/9/2007","CPL","PLNLOW","CPL","Fair",45.5,6.27,2.76,6.47,5,2.86,3.91,300,"8/23/2016"
2007571,"NLA06608-0080",2007,2,"9/10/2007","CPL","PLNLOW","CPL","Fair",50.9,6.02,5.85,4.71,8,2.86,3.1,300,"8/23/2016"
2007572,"NLA06608-0081",2007,1,"7/3/2007","WMTNS","WMTNS","WMT","Good",68.8,6.98,8.2,10,8.57,2.86,4.67,300,"8/23/2016"
2007573,"NLA06608-0081",2007,2,"9/19/2007","WMTNS","WMTNS","WMT","Good",68.7,7.66,7.58,6,10,5.71,4.24,300,"8/23/2016"
2007574,"NLA06608-0083",2007,1,"6/13/2007","PLAINS","PLNLOW","NPL","Poor",27.8,1.42,0.47,0.59,5.61,3,5.59,300,"8/23/2016"
2007575,"NLA06608-0083",2007,2,"8/9/2007","PLAINS","PLNLOW","NPL","Fair",38.8,0.87,0.64,2.35,6.43,3,10,300,"8/23/2016"
2007576,"NLA06608-0085",2007,1,"7/10/2007","WMTNS","WMTNS","XER","Fair",46.5,4.22,7.02,4,4.29,4.29,4.06,300,"8/23/2016"
2007577,"NLA06608-0085",2007,2,"8/20/2007","WMTNS","WMTNS","XER","Fair",50.8,4,6.97,6,4.29,4.29,4.91,300,"8/23/2016"
2007578,"NLA06608-0086",2007,1,"8/2/2007","WMTNS","WMTNS","WMT","Poor",42.7,3.36,9.55,0,7.14,4.29,1.26,300,"8/23/2016"
2007579,"NLA06608-0086",2007,2,"9/20/2007","WMTNS","WMTNS","WMT","Fair",52,4.64,8.71,2,10,4.29,1.55,300,"8/23/2016"
2007581,"NLA06608-0089",2007,2,"7/17/2007","EHIGH","EHIGH","SAP","Fair",48.4,5.66,3.97,5.26,3.33,5.83,5,300,"8/23/2016"
2007582,"NLA06608-0090",2007,1,"6/26/2007","WMTNS","WMTNS","WMT","Good",76.5,9.66,9.72,8,8.57,4.29,5.66,300,"8/23/2016"
2007583,"NLA06608-0090",2007,2,"7/25/2007","WMTNS","WMTNS","WMT","Good",74.4,10,7.75,10,7.14,2.86,6.91,300,"8/23/2016"
2007584,"NLA06608-0091",2007,1,"7/10/2007","PLAINS","PLNLOW","TPL","Poor",28.7,6.16,0,2.94,7.15,1,0,223,"8/23/2016"
2007585,"NLA06608-0091",2007,2,"8/13/2007","PLAINS","PLNLOW","TPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,17,"8/23/2016"
2007586,"NLA06608-0099",2007,1,"7/3/2007","PLAINS","PLNLOW","TPL","Good",75.1,7.41,7.43,8.82,8.67,10,2.71,300,"8/23/2016"
2007587,"NLA06608-0099",2007,2,"9/5/2007","PLAINS","PLNLOW","TPL","Good",78,7.93,3.36,8.24,10,9,8.3,300,"8/23/2016"
2007588,"NLA06608-0101",2007,1,"8/21/2007","EHIGH","EHIGH","NAP","Poor",16.4,0.66,0.23,1.58,1.11,2.5,3.75,214,"8/23/2016"
2007589,"NLA06608-0102",2007,1,"8/3/2007","EHIGH","EHIGH","NAP","Good",75.3,6.79,7.24,9.47,6.67,5,10,274,"8/23/2016"
2007590,"NLA06608-0104",2007,1,"6/22/2007","PLAINS","PLNLOW","SPL","Good",54.8,5.61,6.56,8.82,4.9,6,1.02,300,"8/23/2016"
2007591,"NLA06608-0104",2007,2,"7/24/2007","PLAINS","PLNLOW","SPL","Good",53,1.02,8.47,10,4.29,7,1.02,300,"8/23/2016"
2007592,"NLA06608-0105",2007,1,"7/5/2007","WMTNS","WMTNS","WMT","Poor",39.8,7.02,6.01,8,1.43,1.43,0,300,"8/23/2016"
2007593,"NLA06608-0105",2007,2,"9/12/2007","WMTNS","WMTNS","WMT","Poor",38,2,4.04,10,2.86,1.43,2.45,300,"8/23/2016"
2007594,"NLA06608-0107",2007,1,"6/25/2007","UMW","PLNLOW","UMW","Fair",57.2,6.06,7.6,5.28,3.64,6.67,5.08,300,"8/23/2016"
2007595,"NLA06608-0110",2007,1,"7/31/2007","UMW","PLNLOW","UMW","Poor",44.5,0,6.58,9.65,1.82,6.67,1.98,300,"8/23/2016"
2007596,"NLA06608-0111",2007,1,"8/1/2007","EHIGH","EHIGH","NAP","Fair",41.4,4.41,6.88,5.79,1.11,4.17,2.5,261,"8/23/2016"
2007597,"NLA06608-0112",2007,1,"7/9/2007","PLAINS","PLNLOW","TPL","Poor",16.9,1.81,0.93,4.12,1.3,2,0,300,"8/23/2016"
2007598,"NLA06608-0113",2007,1,"7/16/2007","EHIGH","EHIGH","NAP","Good",63.6,2.61,3.54,8.42,7.78,5.83,10,300,"8/23/2016"
2007599,"NLA06608-0115",2007,1,"7/18/2007","UMW","PLNLOW","UMW","Good",59.5,3.62,8.93,7.78,4.55,6.67,4.13,300,"8/23/2016"
2007600,"NLA06608-0116",2007,1,"6/28/2007","WMTNS","WMTNS","XER","Fair",45.4,1.28,7.58,4,5.71,4.29,4.38,300,"8/23/2016"
2007604,"NLA06608-0124",2007,1,"7/19/2007","PLAINS","PLNLOW","SPL","Poor",16.6,0,0.44,2.94,5.61,1,0,129,"8/23/2016"
2007605,"NLA06608-0126",2007,1,"6/21/2007","PLAINS","PLNLOW","NPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,58,"8/23/2016"
2007606,"NLA06608-0126",2007,2,"8/28/2007","PLAINS","PLNLOW","NPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,22,"8/23/2016"
2007607,"NLA06608-0127",2007,1,"7/11/2007","WMTNS","WMTNS","XER","Fair",42.8,2.3,5.39,4,5.71,2.86,5.38,300,"8/23/2016"
2007608,"NLA06608-0128",2007,1,"6/21/2007","PLAINS","PLNLOW","NPL","Fair",30.7,6.16,1.83,3.53,5.92,1,0,300,"8/23/2016"
2007609,"NLA06608-0128",2007,2,"8/25/2007","PLAINS","PLNLOW","NPL","Poor",27.8,6.75,0,1.18,5.61,3,0.17,300,"8/23/2016"
2007610,"NLA06608-0129",2007,1,"7/21/2007","WMTNS","WMTNS","WMT","Good",60.7,2.94,10,2,8.57,8.57,4.34,300,"8/23/2016"
2007611,"NLA06608-0129",2007,2,"9/16/2007","WMTNS","WMTNS","WMT","Fair",50.6,6.94,3.99,8,2.86,8.57,0,300,"8/23/2016"
2007612,"NLA06608-0130",2007,1,"8/13/2007","WMTNS","WMTNS","XER","Poor",22.4,0.3,3.31,2,2.86,2.86,2.12,300,"8/23/2016"
2007613,"NLA06608-0132",2007,1,"8/28/2007","WMTNS","WMTNS","WMT","Poor",30.1,6.3,2.3,8,0,1.43,0,300,"8/23/2016"
2007614,"NLA06608-0134",2007,1,"7/24/2007","EHIGH","EHIGH","NAP","Fair",43.3,4.11,2.99,4.74,3.33,3.33,7.5,300,"8/23/2016"
2007615,"NLA06608-0137",2007,1,"9/17/2007","WMTNS","WMTNS","WMT","Good",57.9,3.49,10,4,5.71,5.71,5.83,300,"8/23/2016"
2007616,"NLA06608-0139",2007,1,"7/11/2007","UMW","PLNLOW","UMW","Poor",16.8,0,3.38,0,0,6.67,0,300,"8/23/2016"
2007617,"NLA06608-0140",2007,1,"6/20/2007","PLAINS","PLNLOW","TPL","Good",47.1,0.56,5.28,7.65,4.8,4,5.97,230,"8/23/2016"
2007618,"NLA06608-0141",2007,1,"8/23/2007","CPL","PLNLOW","CPL","Good",64.7,4.56,7.9,6.47,9,2.86,8.05,300,"8/23/2016"
2007619,"NLA06608-0142",2007,1,"8/13/2007","UMW","PLNLOW","UMW","Fair",57.3,5.14,7.34,7.5,5.45,3.33,5.6,300,"8/23/2016"
2007620,"NLA06608-0144",2007,1,"8/2/2007","PLAINS","PLNLOW","SPL","Poor",26.6,1.85,0.95,4.71,4.29,4,0.17,300,"8/23/2016"
2007621,"NLA06608-0144",2007,2,"9/13/2007","PLAINS","PLNLOW","SPL","Good",41.8,2.62,4.98,6.47,3.82,5,2.2,300,"8/23/2016"
2007622,"NLA06608-0148",2007,1,"7/26/2007","PLAINS","PLNLOW","TPL","Fair",32.5,1.67,3.91,9.41,1.67,2,0.85,300,"8/23/2016"
2007623,"NLA06608-0149",2007,1,"7/18/2007","EHIGH","EHIGH","NAP","Good",54.1,5.29,8.51,4.21,4.44,5,5,300,"8/23/2016"
2007624,"NLA06608-0150",2007,1,"8/2/2007","EHIGH","EHIGH","NAP","Fair",44.6,2.37,6.13,6.32,4.44,5,2.5,300,"8/23/2016"
2007625,"NLA06608-0152",2007,1,"7/17/2007","PLAINS","PLNLOW","SPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,52,"8/23/2016"
2007626,"NLA06608-0153",2007,1,"8/30/2007","EHIGH","EHIGH","SAP","Fair",47.5,5.66,4.1,4.74,4.44,5.83,3.75,300,"8/23/2016"
2007627,"NLA06608-0155",2007,1,"7/31/2007","PLAINS","PLNLOW","TPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,12,"8/23/2016"
2007629,"NLA06608-0161",2007,1,"8/15/2007","CPL","PLNLOW","CPL","Poor",16.3,0,0.35,1.18,2,4.29,1.96,300,"8/23/2016"
2007630,"NLA06608-0162",2007,1,"8/28/2007","EHIGH","EHIGH","NAP","Good",61,7.34,10,5.79,5.56,4.17,3.75,300,"8/23/2016"
2007631,"NLA06608-0167",2007,1,"7/23/2007","UMW","PLNLOW","UMW","Not Assessed",NA,NA,NA,NA,NA,NA,NA,46,"8/23/2016"
2007632,"NLA06608-0167",2007,2,"8/29/2007","UMW","PLNLOW","UMW","Not Assessed",NA,NA,NA,NA,NA,NA,NA,11,"8/23/2016"
2007633,"NLA06608-0168",2007,1,"6/13/2007","PLAINS","PLNLOW","TPL","Good",50,8.72,0,5.29,10,6,0,300,"8/23/2016"
2007634,"NLA06608-0169",2007,1,"7/5/2007","WMTNS","WMTNS","WMT","Poor",38.9,2.51,8.31,4,1.43,2.86,4.24,300,"8/23/2016"
2007635,"NLA06608-0169",2007,2,"9/13/2007","WMTNS","WMTNS","WMT","Poor",34,4.05,8.37,2,1.43,2.86,1.73,300,"8/23/2016"
2007636,"NLA06608-0170",2007,1,"9/21/2007","UMW","PLNLOW","UMW","Fair",56.2,6.1,6.52,5.56,3.64,6.67,5.24,300,"8/23/2016"
2007637,"NLA06608-0173",2007,1,"7/11/2007","WMTNS","WMTNS","XER","Poor",40.6,5.19,4.49,4,5.71,2.86,2.12,300,"8/23/2016"
2007638,"NLA06608-0174",2007,1,"7/25/2007","UMW","PLNLOW","UMW","Poor",27.4,0.56,0,4.31,1.82,6.67,3.07,300,"8/23/2016"
2007639,"NLA06608-0174",2007,2,"8/28/2007","UMW","PLNLOW","UMW","Poor",28.9,2.71,2.53,5.42,0,6.67,0,300,"8/23/2016"
2007640,"NLA06608-0175",2007,1,"8/30/2007","PLAINS","PLNLOW","TPL","Fair",37.8,4.3,2.33,4.12,4.58,6,1.36,300,"8/23/2016"
2007641,"NLA06608-0176",2007,1,"9/7/2007","CPL","PLNLOW","CPL","Good",61.9,9.42,4.27,7.06,8,5.71,2.7,300,"8/23/2016"
2007642,"NLA06608-0177",2007,1,"8/22/2007","EHIGH","EHIGH","NAP","Good",86.3,5.93,10,10,10,5.83,10,300,"8/23/2016"
2007643,"NLA06608-0179",2007,1,"6/4/2007","PLAINS","PLNLOW","NPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,43,"8/23/2016"
2007644,"NLA06608-0179",2007,2,"8/29/2007","PLAINS","PLNLOW","NPL","Poor",2.3,0,0.29,0,1.07,0,0,156,"8/23/2016"
2007645,"NLA06608-0180",2007,1,"8/29/2007","PLAINS","PLNLOW","SPL","Good",49.2,5.19,1.86,6.47,6.43,7,2.54,300,"8/23/2016"
2007646,"NLA06608-0181",2007,1,"9/20/2007","WMTNS","WMTNS","WMT","Good",78.4,9.45,10,6,10,4.29,7.29,300,"8/23/2016"
