"UID","SITE_ID","YEAR","VISIT_NO","DATE_COL","ECO_BIO","AGGR_ECO3_2015","AGGR_ECO9_2015","AMPHNIND","AMPHNTAX","AMPHPIND","AMPHPTAX","BURRNIND","BURRNTAX","BURRPIND","BURRPTAX","CHIRDOM1PIND","CHIRDOM3PIND","CHIRDOM5PIND","CHIRNIND","CHIRNTAX","CHIRPIND","CHIRPTAX","CLMBNIND","CLMBNTAX","CLMBPIND","CLMBPTAX","CLNGNIND","CLNGNTAX","CLNGPIND","CLNGPTAX","COFININD","COFINTAX","COFIPIND","COFIPTAX","COFITRICNIND","COFITRICNTAX","COFITRICPIND","COFITRICPTAX","COGANIND","COGANTAX","COGAPIND","COGAPTAX","CRUSNIND","CRUSNTAX","CRUSPIND","CRUSPTAX","DIPTNIND","DIPTNTAX","DIPTPIND","DIPTPTAX","DOM1PIND","DOM3PIND","DOM5PIND","EPHENIND","EPHENTAX","EPHEPIND","EPHEPTAX","EPOTNIND","EPOTNTAX","EPOTPIND","EPOTPTAX","EPT_NIND","EPT_NTAX","EPT_PIND","EPT_PTAX","FACLNIND","FACLNTAX","FACLPIND","FACLPTAX","HEMININD","HEMINTAX","HEMIPIND","HEMIPTAX","HPRIME","INTLNIND","INTLNTAX","INTLPIND","INTLPTAX","MITENIND","MITENTAX","MITEPIND","MITEPTAX","MOLLNIND","MOLLNTAX","MOLLPIND","MOLLPTAX","NOINNIND","NOINNTAX","NOINPIND","NOINPTAX","NTOLNIND","NTOLNTAX","NTOLPIND","NTOLPTAX","ODONNIND","ODONNTAX","ODONPIND","ODONPTAX","OLLENIND","OLLENTAX","OLLEPIND","OLLEPTAX","ORTHCHIRPIND","ORTHNIND","ORTHNTAX","ORTHPIND","ORTHPTAX","PLECNIND","PLECNTAX","PLECPIND","PLECPTAX","PREDNIND","PREDNTAX","PREDPIND","PREDPTAX","SCRPNIND","SCRPNTAX","SCRPPIND","SCRPPTAX","SHRDNIND","SHRDNTAX","SHRDPIND","SHRDPTAX","SPWLNIND","SPWLNTAX","SPWLPIND","SPWLPTAX","STOLNIND","STOLNTAX","STOLPIND","STOLPTAX","SWIMNIND","SWIMNTAX","SWIMPIND","SWIMPTAX","TANYNIND","TANYNTAX","TANYPIND","TANYPTAX","TL01NIND","TL01NTAX","TL01PIND","TL01PTAX","TL23NIND","TL23NTAX","TL23PIND","TL23PTAX","TL45NIND","TL45NTAX","TL45PIND","TL45PTAX","TL67NIND","TL67NTAX","TL67PIND","TL67PTAX","TL89NIND","TL89NTAX","TL89PIND","TL89PTAX","TOLRNIND","TOLRNTAX","TOLRPIND","TOLRPTAX","TOTLNIND","TOTLNTAX","TRICNIND","TRICNTAX","TRICPIND","TRICPTAX","TUBINAIDNIND","TUBINAIDNTAX","TUBINAIDPIND","TUBINAIDPTAX","WTD_TV"
2007478,"NLA06608-0006",2007,2,"8/30/2007","EHIGH","EHIGH","NAP",18,2,6,4.55,47,12,15.67,27.27,19.4,48.51,68.66,139,22,46.33,50,63,8,21,18.18,85,11,28.33,25,19,3,6.33,6.82,0,0,0,0,129,25,43,56.82,31,3,10.33,6.82,139,22,46.33,50,9.22,24.11,37.23,37,4,12.33,9.09,58,10,19.33,22.73,55,8,18.33,18.18,127,19,42.33,43.18,0,0,0,0,3.26,25,5,8.33,11.36,4,2,1.33,4.55,49,3,16.33,6.82,99,10,33,22.73,100,20,33.33,45.45,3,2,1,4.55,15,2,5,4.55,2.16,3,3,1,6.82,0,0,0,0,77,12,25.67,27.27,67,7,22.33,15.91,54,6,18,13.64,113,14,37.67,31.82,99,11,33,25,2,1,0.67,2.27,22,5,7.33,11.36,1,1,0.33,2.27,38,6,12.67,13.64,61,13,20.33,29.55,97,11,32.33,25,99,11,33,25,144,18,48,40.91,300,44,18,4,6,9.09,15,2,5,4.55,6.42
2007479,"NLA06608-0007",2007,1,"7/24/2007","UMW","PLNLOW","UMW",0,0,0,0,84,13,28,28.89,12.56,33.02,47.91,215,28,71.67,62.22,38,8,12.67,17.78,68,7,22.67,15.56,62,5,20.67,11.11,0,0,0,0,155,22,51.67,48.89,0,0,0,0,233,30,77.67,66.67,9.25,24.32,36.64,20,2,6.67,4.44,32,8,10.67,17.78,27,5,9,11.11,195,26,65,57.78,0,0,0,0,3.33,43,6,14.33,13.33,0,0,0,0,20,3,6.67,6.67,34,6,11.33,13.33,146,22,48.67,48.89,5,3,1.67,6.67,14,3,4.67,6.67,14.88,32,7,10.67,15.56,0,0,0,0,90,12,30,26.67,8,4,2.67,8.89,20,6,6.67,13.33,129,17,43,37.78,49,8,16.33,17.78,0,0,0,0,37,5,12.33,11.11,7,1,2.33,2.22,39,8,13,17.78,100,13,33.33,28.89,103,14,34.33,31.11,49,8,16.33,17.78,60,12,20,26.67,300,45,7,3,2.33,6.67,8,1,2.67,2.22,5.43
2007480,"NLA06608-0007",2007,2,"9/6/2007","UMW","PLNLOW","UMW",1,1,0.33,2.27,134,15,44.67,34.09,15.75,33.56,48.63,148,22,49.33,50,45,9,15,20.45,47,8,15.67,18.18,42,6,14,13.64,0,0,0,0,213,25,71,56.82,1,1,0.33,2.27,219,24,73,54.55,24.3,39.08,48.24,27,3,9,6.82,36,8,12,18.18,30,5,10,11.36,196,20,65.33,45.45,0,0,0,0,3.09,44,6,14.67,13.64,1,1,0.33,2.27,17,4,5.67,9.09,45,12,15,27.27,103,18,34.33,40.91,6,3,2,6.82,26,6,8.67,13.64,24.32,36,6,12,13.64,0,0,0,0,106,12,35.33,27.27,10,3,3.33,6.82,36,8,12,18.18,142,14,47.33,31.82,41,10,13.67,22.73,0,0,0,0,38,5,12.67,11.36,2,1,0.67,2.27,42,5,14,11.36,59,12,19.67,27.27,153,13,51,29.55,41,10,13.67,22.73,57,15,19,34.09,300,44,3,2,1,4.55,21,3,7,6.82,5.57
2007481,"NLA06608-0008",2007,1,"7/12/2007","PLAINS","PLNLOW","TPL",53,1,17.67,3.03,135,9,45,27.27,36.17,59.57,74.47,48,14,16,42.42,36,10,12,30.3,31,6,10.33,18.18,54,3,18,9.09,0,0,0,0,172,12,57.33,36.36,53,1,17.67,3.03,57,15,19,45.45,25.98,43.63,56.86,16,1,5.33,3.03,34,5,11.33,15.15,30,3,10,9.09,68,15,22.67,45.45,0,0,0,0,2.8,3,2,1,6.06,17,5,5.67,15.15,63,3,21,9.09,207,11,69,33.33,28,9,9.33,27.27,4,2,1.33,6.06,73,2,24.33,6.06,2.08,1,1,0.33,3.03,0,0,0,0,68,15,22.67,45.45,17,3,5.67,9.09,57,4,19,12.12,118,11,39.33,33.33,165,12,55,36.36,2,2,0.67,6.06,11,3,3.67,9.09,2,1,0.67,3.03,1,1,0.33,3.03,25,7,8.33,21.21,107,12,35.67,36.36,165,12,55,36.36,229,16,76.33,48.48,300,33,14,2,4.67,6.06,73,2,24.33,6.06,7.54
2007482,"NLA06608-0008",2007,2,"8/22/2007","PLAINS","PLNLOW","TPL",1,1,0.33,2.7,93,11,31,29.73,56.19,77.14,86.67,106,14,35.33,37.84,59,9,19.67,24.32,59,6,19.67,16.22,34,6,11.33,16.22,0,0,0,0,130,14,43.33,37.84,1,1,0.33,2.7,121,16,40.33,43.24,24.38,44.63,59.5,1,1,0.33,2.7,32,5,10.67,13.51,28,3,9.33,8.11,84,17,28,45.95,0,0,0,0,2.8,4,1,1.33,2.7,35,7,11.67,18.92,17,3,5.67,8.11,146,15,48.67,40.54,47,11,15.67,29.73,4,2,1.33,5.41,93,4,31,10.81,0,0,0,0,0,0,0,0,0,155,19,51.67,51.35,23,3,7.67,8.11,5,3,1.67,8.11,99,11,33,29.73,206,13,68.67,35.14,4,2,1.33,5.41,21,3,7,8.11,0,0,0,0,4,1,1.33,2.7,43,10,14.33,27.03,45,11,15,29.73,206,13,68.67,35.14,210,17,70,45.95,300,37,27,2,9,5.41,93,4,31,10.81,7.47
2007483,"NLA06608-0010",2007,1,"7/17/2007","UMW","PLNLOW","UMW",36,1,12,2.86,32,7,10.67,20,44,64,73.33,78,16,26,45.71,56,11,18.67,31.43,50,7,16.67,20,36,3,12,8.57,0,0,0,0,205,18,68.33,51.43,36,1,12,2.86,80,17,26.67,48.57,27.11,52.82,69.37,128,3,42.67,8.57,141,7,47,20,133,5,44.33,14.29,144,17,48,48.57,0,0,0,0,2.57,48,5,16,14.29,23,5,7.67,14.29,16,3,5.33,8.57,79,11,26.33,31.43,101,17,33.67,48.57,8,2,2.67,5.71,2,1,0.67,2.86,6.41,5,2,1.67,5.71,0,0,0,0,44,12,14.67,34.29,14,2,4.67,5.71,39,2,13,5.71,130,10,43.33,28.57,64,7,21.33,20,39,2,13,5.71,46,6,15.33,17.14,2,1,0.67,2.86,49,6,16.33,17.14,50,10,16.67,28.57,133,9,44.33,25.71,64,7,21.33,20,106,11,35.33,31.43,300,35,5,2,1.67,5.71,2,1,0.67,2.86,5.82
2007484,"NLA06608-0010",2007,2,"8/18/2007","UMW","PLNLOW","UMW",6,1,2,2.38,34,9,11.33,21.43,37.17,61.26,74.87,197,20,65.67,47.62,86,9,28.67,21.43,103,8,34.33,19.05,103,3,34.33,7.14,0,0,0,0,161,21,53.67,50,6,1,2,2.38,201,22,67,52.38,24.4,43.64,56.7,51,3,17,7.14,65,7,21.67,16.67,63,6,21,14.29,130,21,43.33,50,0,0,0,0,2.92,116,5,38.67,11.9,13,6,4.33,14.29,11,3,3.67,7.14,34,13,11.33,30.95,166,21,55.33,50,2,1,0.67,2.38,4,3,1.33,7.14,3.05,6,2,2,4.76,0,0,0,0,57,16,19,38.1,6,3,2,7.14,7,2,2.33,4.76,83,15,27.67,35.71,41,9,13.67,21.43,15,3,5,7.14,138,5,46,11.9,21,1,7,2.38,96,5,32,11.9,49,15,16.33,35.71,90,9,30,21.43,41,9,13.67,21.43,51,13,17,30.95,300,42,12,3,4,7.14,4,3,1.33,7.14,4.52
2007485,"NLA06608-0012",2007,1,"6/13/2007","PLAINS","PLNLOW","SPL",14,1,4.67,2.27,137,13,45.67,29.55,18.84,42.03,57.97,71,17,23.67,38.64,35,8,11.67,18.18,32,6,10.67,13.64,36,7,12,15.91,2,1,0.67,2.27,189,19,63,43.18,14,1,4.67,2.27,84,19,28,43.18,12.75,25.98,36.27,13,4,4.33,9.09,28,7,9.33,15.91,25,6,8.33,13.64,101,21,33.67,47.73,0,0,0,0,3.41,8,2,2.67,4.55,19,4,6.33,9.09,20,4,6.67,9.09,183,16,61,36.36,51,15,17,34.09,3,1,1,2.27,129,6,43,13.64,9.86,7,3,2.33,6.82,0,0,0,0,74,17,24.67,38.64,11,3,3.67,6.82,25,5,8.33,11.36,98,16,32.67,36.36,160,10,53.33,22.73,16,3,5.33,6.82,16,3,5.33,6.82,0,0,0,0,8,2,2.67,4.55,43,13,14.33,29.55,86,17,28.67,38.64,160,10,53.33,22.73,188,19,62.67,43.18,300,44,12,2,4,4.55,128,5,42.67,11.36,7.33
2007486,"NLA06608-0012",2007,2,"9/18/2007","PLAINS","PLNLOW","SPL",3,1,1.19,3.57,129,9,51.19,32.14,32.45,68.21,87.42,151,11,59.92,39.29,9,5,3.57,17.86,27,5,10.71,17.86,33,4,13.1,14.29,0,0,0,0,141,12,55.95,42.86,3,1,1.19,3.57,162,13,64.29,46.43,21.59,49.34,64.76,0,0,0,0,3,3,1.19,10.71,2,2,0.79,7.14,123,11,48.81,39.29,0,0,0,0,2.62,6,1,2.38,3.57,8,4,3.17,14.29,24,2,9.52,7.14,78,11,30.95,39.29,73,8,28.97,28.57,1,1,0.4,3.57,43,4,17.06,14.29,1.32,2,1,0.79,3.57,0,0,0,0,90,14,35.71,50,10,2,3.97,7.14,5,2,1.98,7.14,93,9,36.9,32.14,83,9,32.94,32.14,2,1,0.79,3.57,14,3,5.56,10.71,0,0,0,0,6,1,2.38,3.57,67,7,26.59,25,94,10,37.3,35.71,83,9,32.94,32.14,121,15,48.02,53.57,252,28,2,2,0.79,7.14,41,3,16.27,10.71,6.72
2007487,"NLA06608-0013",2007,1,"9/4/2007","CPL","PLNLOW","CPL",4,1,1.33,2.5,134,12,44.67,30,32.28,54.33,68.5,132,18,44,45,45,9,15,22.5,31,6,10.33,15,32,6,10.67,15,1,1,0.33,2.5,185,20,61.67,50,7,2,2.33,5,141,19,47,47.5,16.94,39.26,47.52,37,1,12.33,2.5,88,8,29.33,20,53,5,17.67,12.5,169,22,56.33,55,0,0,0,0,3.12,20,2,6.67,5,7,3,2.33,7.5,14,3,4.67,7.5,66,12,22,30,114,17,38,42.5,35,3,11.67,7.5,38,4,12.67,10,8.33,11,3,3.67,7.5,0,0,0,0,79,12,26.33,30,10,4,3.33,10,26,6,8.67,15,92,13,30.67,32.5,77,12,25.67,30,2,1,0.67,2.5,13,3,4.33,7.5,0,0,0,0,24,2,8,5,90,15,30,37.5,109,11,36.33,27.5,77,12,25.67,30,111,16,37,40,300,40,16,4,5.33,10,38,4,12.67,10,6.22
2007488,"NLA06608-0013",2007,2,"9/14/2007","CPL","PLNLOW","CPL",8,1,2.67,3.12,203,11,67.67,34.38,78.36,87.31,91.79,136,16,45.33,50,21,4,7,12.5,27,5,9,15.62,12,2,4,6.25,0,0,0,0,245,20,81.67,62.5,8,1,2.67,3.12,139,17,46.33,53.12,41.83,66.53,76.49,29,2,9.67,6.25,66,6,22,18.75,48,4,16,12.5,172,14,57.33,43.75,0,0,0,0,2.22,6,3,2,9.38,2,2,0.67,6.25,0,0,0,0,94,8,31.33,25,136,11,45.33,34.38,18,2,6,6.25,84,5,28,15.62,2.21,3,3,1,9.38,0,0,0,0,44,9,14.67,28.12,1,1,0.33,3.12,18,4,6,12.5,63,11,21,34.38,91,8,30.33,25,2,1,0.67,3.12,5,2,1.67,6.25,0,0,0,0,6,3,2,9.38,130,8,43.33,25,73,13,24.33,40.62,91,8,30.33,25,122,15,40.67,46.88,300,32,19,2,6.33,6.25,84,5,28,15.62,6.13
2007489,"NLA06608-0014",2007,1,"8/6/2007","PLAINS","PLNLOW","TPL",95,1,38.62,7.69,17,3,6.91,23.08,50,100,100,12,3,4.88,23.08,99,2,40.24,15.38,2,1,0.81,7.69,1,1,0.41,7.69,0,0,0,0,119,4,48.37,30.77,95,1,38.62,7.69,14,4,5.69,30.77,39.09,83.54,90.95,14,1,5.69,7.69,120,4,48.78,30.77,26,3,10.57,23.08,29,5,11.79,38.46,0,0,0,0,1.53,0,0,0,0,15,3,6.1,23.08,0,0,0,0,110,4,44.72,30.77,25,3,10.16,23.08,94,1,38.21,7.69,0,0,0,0,41.67,5,1,2.03,7.69,0,0,0,0,119,7,48.37,53.85,0,0,0,0,110,5,44.72,38.46,110,5,44.72,38.46,16,4,6.5,30.77,22,4,8.94,30.77,0,0,0,0,0,0,0,0,3,0,1.22,0,22,3,8.94,23.08,198,5,80.49,38.46,16,4,6.5,30.77,210,7,85.37,53.85,246,13,12,2,4.88,15.38,0,0,0,0,7.14
